z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
90,133,Th,1,51.3,0.5,(7/2)+,0,0,,(5/2)+,0,51.3,0.5,100,,M1+E2,0.214,0.01,,,,,,,,,39.2,1,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,2,118.9,0.6,(9/2)+,1,51.3,0.5,(7/2)+,0,67.5,0.3,100,,M1+E2,0.2,0.002,,,,,,,,,15,3,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,2,118.9,0.6,(9/2)+,0,0,,(5/2)+,1,119,0.5,45,25,E2,,,,,,,,,,,5.4,,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,3,180.5,0.5,(9/2-),1,51.3,0.5,(7/2)+,0,129.3,0.2,100,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,4,209,1,(7/2)+,1,51.3,0.5,(7/2)+,0,158,,100,36,M1+E2,1.3,,,,,,,,,,3,0.4,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,4,209,1,(7/2)+,0,0,,(5/2)+,1,209,,100,36,M1+E2,1.3,,,,,,,,,,1.27,0.25,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,5,212.3,0.6,(11/2)+,3,180.5,0.5,(9/2-),0,31.9,0.3,100,47,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,5,212.3,0.6,(11/2)+,2,118.9,0.6,(9/2)+,1,93.4,0.2,58,16,M1+E2,0.27,0.06,,,,,,,,,5.7,0.3,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,5,212.3,0.6,(11/2)+,1,51.3,0.5,(7/2)+,2,161,0.5,79,26,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,6,243,0.6,(11/2-),2,118.9,0.6,(9/2)+,0,124.1,0.2,100,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2025-10-17
90,133,Th,7,247,1,(3/2)+,0,0,,(5/2)+,0,247,,100,,M1,,,,,,,,,,,1.53,,1-May-2001,E. BROWNE,2025-10-17
