z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
88,141,Ra,1,41.25,0.09,(7/2)+,0,0,,5/2+,0,41.3,,100,,M1(+E2),,,,,,,,,,,,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,2,107.04,0.06,(5/2)+,1,41.25,0.09,(7/2)+,0,65.8,0.1,100,7,M1,,,,,,,,,,,10.51,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,2,107.04,0.06,(5/2)+,0,0,,5/2+,1,107.1,0.1,57,4,M1,,,,,,,,,,,12.77,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,3,137.45,0.06,5/2-,1,41.25,0.09,(7/2)+,0,96.2,0.1,100,,E1,,,0.000131,,,,,,,,0.1223,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,3,137.45,0.06,5/2-,0,0,,5/2+,1,137.5,0.1,100,,E1,,,0.000045,,,,,,,,0.222,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,4,142.67,0.06,1/2+,2,107.04,0.06,(5/2)+,0,35.6,,,,(E2),,,,,,,,,,,,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,4,142.67,0.06,1/2+,0,0,,5/2+,1,142.7,0.1,100,,E2,,,,,2.12,,,,,,2.14,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,5,168.74,0.06,3/2+,4,142.67,0.06,1/2+,0,26.1,,,,,,,,,,,,,,,,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,5,168.74,0.06,3/2+,2,107.04,0.06,(5/2)+,1,61.8,0.1,29,2,M1,,,,,,,0.03,,,,12.62,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,5,168.74,0.06,3/2+,0,0,,5/2+,2,168.8,0.1,100,4,M1,,,,,,,0.0051,,,,3.53,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,6,212.91,0.06,3/2+,5,168.74,0.06,3/2+,0,44.3,0.2,6.9,0.8,M1+E2,0.95,0.33,,,4000,,0.03,,,,240,90,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,6,212.91,0.06,3/2+,4,142.67,0.06,1/2+,1,70.3,0.2,4.4,0.7,,,,,,,,,,,,,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,6,212.91,0.06,3/2+,3,137.45,0.06,5/2-,2,75.1,0.1,5.2,2,,,,,,,,,,,,,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,6,212.91,0.06,3/2+,2,107.04,0.06,(5/2)+,3,105.9,0.1,14,1.2,,,,,,,,,,,,,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,6,212.91,0.06,3/2+,0,0,,5/2+,4,212.9,0.1,100,7,M1(+E2),,,,,,,,,,,1.2,0.7,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,7,478.86,0.07,1/2-,6,212.91,0.06,3/2+,0,266,0.1,18.5,0.6,E1,,,,,,,,,,,0.0462,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
88,141,Ra,7,478.86,0.07,1/2-,5,168.74,0.06,3/2+,1,310.1,0.1,13.9,0.6,E1,,,,,,,,,,,0.0327,,1-Jun-2008,E. BROWNE and  J. K. TULI,2025-10-17
