z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9,13,F,1,71.65,0.2,(3+),0,0,,(4+),0,71.6,0.2,100,,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,3,709.1,0.3,(2+),1,71.65,0.2,(3+),0,637.4,0.2,100,7,[M1],,,,,,,1.5,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,4,1413.2,0.9,(5+),0,0,,(4+),0,1414.2,,100,,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,5,1627.1,0.4,1+,3,709.1,0.3,(2+),0,918,0.2,100,,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,6,1632.4,0.8,(3+),1,71.65,0.2,(3+),0,1560.5,,47,7,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,6,1632.4,0.8,(3+),0,0,,(4+),1,1632.6,,100,10,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,7,2006.6,1.1,(2+),3,709.1,0.3,(2+),0,1297.5,,100,,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,8,2571.7,0.5,1+,5,1627.1,0.4,1+,0,944,,4.8,1.6,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,8,2571.7,0.5,1+,3,709.1,0.3,(2+),1,1862.6,0.3,100,11,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,8,2571.7,0.5,1+,1,71.65,0.2,(3+),2,2499,,2.4,1.6,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,10,2832.2,0.9,(4+),1,71.65,0.2,(3+),0,2759.4,,100,,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,14,3376.4,1.1,(1+ 2+),3,709.1,0.3,(2+),0,2667.2,,100,,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,15,3581.6,1,(5+),10,2832.2,0.9,(4+),0,748.3,,13.1,0.4,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17
9,13,F,15,3581.6,1,(5+),4,1413.2,0.9,(5+),1,2169.2,,100,12,,,,,,,,,,,,,,1-Apr-2015,M. Shamsuzzoha Basunia,2025-10-17

