z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
91,140,Pa,1,9.183,0.018,1/2-,0,0,,3/2-,0,9.183,,,,,,,,,333,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,2,58.5696,0.0024,7/2-,0,0,,3/2-,0,58.57,0.0024,100,,E2,,,,,227,,,,,,155.5,2.2,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,3,77.692,0.017,5/2-,2,58.5696,0.0024,7/2-,0,19.1,,,,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,3,77.692,0.017,5/2-,1,9.183,0.018,1/2-,1,68.5,0.1,100,5,E2,,,,,127,,,,,,73.3,1,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,3,77.692,0.017,5/2-,0,0,,3/2-,2,77.6,0.2,72,12,[M1+E2],,,,,71,,,,,,25,16,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,4,84.2152,0.002,5/2+,2,58.5696,0.0024,7/2-,0,25.65,0.02,202,3,E1,,,0.0000337,,,,,,,,4.37,0.06,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,4,84.2152,0.002,5/2+,0,0,,3/2-,1,84.214,0.0022,100,,E1,,,0.000000445,,,,,,,,2.17,0.21,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,5,101.408,0.004,7/2+,4,84.2152,0.002,5/2+,0,17.195,0.021,460,160,(M1),,,,,,,,,,,166,3,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,5,101.408,0.004,7/2+,2,58.5696,0.0024,7/2-,1,42.81,0.05,100,2.3,[E1],,,,,,,,,,,1.136,0.016,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
91,140,Pa,6,102.2685,0.0021,3/2+,4,84.2152,0.002,5/2+,0,18.055,0.018,21,8,M1+E2,0.04,,,,,,,,,,218,28,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
