z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
92,139,U,2,45.1,0.3,(7/2-),0,0,,(5/2-),0,45.1,0.3,,,[M1+E2],,,,,,,,,,,330,280,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,3,416.1,0.3,,2,45.1,0.3,(7/2-),0,370.9,0.3,100,,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,3,416.1,0.3,,0,0,,(5/2-),1,416.3,0.3,2.9,0.6,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,4,421.1,0.4,,2,45.1,0.3,(7/2-),0,376.3,0.4,61,3,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,4,421.1,0.4,,0,0,,(5/2-),1,420.7,0.4,100,10,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,5,481.7,0.4,,2,45.1,0.3,(7/2-),0,436.9,0.4,47,10,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,5,481.7,0.4,,0,0,,(5/2-),1,481.6,0.5,100,19,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,6,1153.5,0.4,,3,416.1,0.3,,0,737.8,0.3,100,6,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,6,1153.5,0.4,,2,45.1,0.3,(7/2-),1,1108.1,0.3,44,4,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,7,1268.1,0.4,,5,481.7,0.4,,0,786.6,0.3,26.8,1.4,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17
92,139,U,7,1268.1,0.4,,3,416.1,0.3,,1,851.6,0.5,100,4,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-10-17

