z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
93,140,Np,1,34.4,0.3,(7/2+),0,0,,(5/2+),0,34.4,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,3,512.5,0.4,,1,34.4,0.3,(7/2+),0,478.3,0.3,100,13,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,3,512.5,0.4,,0,0,,(5/2+),1,512.4,0.3,93,21,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,4,534.7,0.4,,1,34.4,0.3,(7/2+),0,500.3,0.3,43,4,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,4,534.7,0.4,,0,0,,(5/2+),1,534.8,0.3,100,4,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,5,558.7,0.4,,1,34.4,0.3,(7/2+),0,524.4,0.3,48,8,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,5,558.7,0.4,,0,0,,(5/2+),1,558.8,0.3,100,10,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,6,583.4,0.5,,0,0,,(5/2+),0,583.3,0.4,100,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,7,725.9,0.5,,4,534.7,0.4,,0,191,0.3,100,14,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,7,725.9,0.5,,0,0,,(5/2+),1,726.2,0.4,69,11,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,8,770,0.6,,4,534.7,0.4,,0,235.4,0.3,100,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,9,830.9,0.3,,6,583.4,0.5,,0,247.4,0.4,65,18,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,9,830.9,0.3,,0,0,,(5/2+),1,830.9,0.3,100,12,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,10,991.8,0.4,,8,770,0.6,,0,221.7,0.4,51,6,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,10,991.8,0.4,,4,534.7,0.4,,1,457.4,0.3,44,10,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,10,991.8,0.4,,0,0,,(5/2+),2,991.7,0.3,100,10,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,11,1012.4,0.4,,1,34.4,0.3,(7/2+),0,978.1,0.3,48,9,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,11,1012.4,0.4,,0,0,,(5/2+),1,1012.3,0.3,100,10,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,12,1035.3,0.5,,1,34.4,0.3,(7/2+),0,1000.5,0.3,100,22,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,12,1035.3,0.5,,0,0,,(5/2+),1,1035.4,0.5,32,9,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,13,1062.6,0.5,,5,558.7,0.4,,0,504,0.3,100,12,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,13,1062.6,0.5,,1,34.4,0.3,(7/2+),1,1028.4,0.5,32,9,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,14,1243.3,0.6,,13,1062.6,0.5,,0,180.8,0.4,50,11,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,14,1243.3,0.6,,12,1035.3,0.5,,1,207.4,0.3,100,9,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17
93,140,Np,14,1243.3,0.6,,8,770,0.6,,2,473.2,0.4,30,7,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-10-17

