z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
94,144,Pu,1,44.065,0.015,2+,0,0,,0+,0,44.06,0.02,100,,E2,,,,,285,,,,,,775,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,2,145.936,0.021,4+,1,44.065,0.015,2+,0,101.88,0.03,100,,E2,,,,,,,,,,,14.8,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,3,303.36,0.06,6+,2,145.936,0.021,4+,0,157.42,0.05,100,,E2,,,,,,,,,,,2.24,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,4,512.55,0.15,8+,3,303.36,0.06,6+,0,209.2,0.14,100,,E2,,,,,,,,,,,0.73,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,5,605.18,0.03,1-,1,44.065,0.015,2+,0,561.17,0.05,100,,E1,,,,,,,,,,,0.0116,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,5,605.18,0.03,1-,0,0,,0+,1,605.18,0.05,73,2,E1,,,,,,,,,,,0.0101,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,6,661.44,0.04,3-,2,145.936,0.021,4+,0,515.53,0.07,55,1,E1+M2,0.114,0.017,,,,,,,,,0.023,0.003,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,6,661.44,0.04,3-,1,44.065,0.015,2+,1,617.41,0.05,100,,E1+M2,0.077,0.017,,,,,,,,,0.0122,0.0013,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,7,763.24,0.11,5-,3,303.36,0.06,6+,0,459.8,0.2,3.4,0.034,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,7,763.24,0.11,5-,2,145.936,0.021,4+,1,617.36,,100,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,8,771.9,0.5,10+,4,512.55,0.15,8+,0,259.4,0.5,100,,E2,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,9,911.6,0.8,7-,3,303.36,0.06,6+,0,608.7,0.5,100,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,10,941.47,0.08,0+,5,605.18,0.03,1-,0,336.38,0.15,2.8,1.6,[E1],,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,10,941.47,0.08,0+,1,44.065,0.015,2+,1,897.33,0.1,100,7,(E2),,,,,,,,,,,0.0154,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,10,941.47,0.08,0+,0,0,,0+,2,941.5,0.2,,,E0,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,11,962.783,0.023,1-,6,661.44,0.04,3-,0,301.5,0.1,1.68,0.09,E2,,,,,,,,,,,0.213,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,11,962.783,0.023,1-,5,605.18,0.03,1-,1,357.62,0.07,7.8,0.16,M1+E2,2.43,0.2,,,,,,,,,0.224,0.015,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,11,962.783,0.023,1-,1,44.065,0.015,2+,2,918.69,0.04,82,0.8,E1,,,,,,,,,,,0.00471,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
94,144,Pu,11,962.783,0.023,1-,0,0,,0+,3,962.77,0.03,100,0.8,E1,,,,,,,,,,,0.00434,,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-10-17
