z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
95,150,Am,2,28.27,0.13,(5/2-),0,0,,5/2+,0,28,1,100,,(E1),,,,,,,,,,,3.8,0.4,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,13,327.421,0.008,7/2+,3,47.083,0.012,(9/2+),0,280.385,0.013,5.1,0.5,(M1+E2),0.7,,,,,,,,,,1.1,0.4,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,13,327.421,0.008,7/2+,1,19.209,0.01,7/2+,1,308.222,0.008,19.3,2,M1(+E2),0.6,0.9,,,,,,,,,0.9,0.4,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,13,327.421,0.008,7/2+,0,0,,5/2+,2,327.428,0.008,100,10,M1(+E2),0.5,0.7,,,,,,,,,0.85,0.33,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,14,395.887,0.011,9/2+,5,87.66,0.04,(11/2+),0,308.222,,,,,,,,,,,,,,,,,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,14,395.887,0.011,9/2+,3,47.083,0.012,(9/2+),1,348.782,0.009,30,3,[M1],,,,,,,,,,,0.862,0.012,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,14,395.887,0.011,9/2+,1,19.209,0.01,7/2+,2,376.676,0.003,100,11,(M1),,,,,,,,,,,0.698,0.01,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,14,395.887,0.011,9/2+,0,0,,5/2+,3,395.87,0.15,3.2,1.1,[E2],,,,,,,,,,,0.1004,0.0014,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,15,475.531,0.022,11/2+,7,134.48,0.11,(13/2+),0,341,0.15,19,3,[M1],,,,,,,,,,,0.917,0.013,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,15,475.531,0.022,11/2+,5,87.66,0.04,(11/2+),1,387.879,0.032,55,13,[M1],,,,,,,,,,,0.644,0.009,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,15,475.531,0.022,11/2+,3,47.083,0.012,(9/2+),2,428.438,0.022,100,9,[M1],,,,,,,,,,,0.491,0.007,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,16,563.04,0.2,(13/2+),7,134.48,0.11,(13/2+),0,428.438,,,,,,,,,,,,,,,,,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,16,563.04,0.2,(13/2+),5,87.66,0.04,(11/2+),1,475.1,0.6,100,43,[M1],,,,,,,,,,,0.371,0.005,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),15,475.531,0.022,11/2+,0,411.935,0.041,9.1,0.9,[E2],,,,,,,,,,,0.0903,0.0013,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),14,395.887,0.011,9/2+,1,491.591,0.009,50,6,(E2),,,,,,,,,,,0.0579,0.0008,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),13,327.421,0.008,7/2+,2,560.134,0.049,100,9,(E2),,,,,,,,,,,0.0427,0.0006,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),6,124.65,0.08,(9/2-),3,762.73,0.1,13.1,1.3,[E1],,,,,,,,,,,0.00677,0.00009,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),5,87.66,0.04,(11/2+),4,799.87,0.1,29,3,[E2],,,,,,,,,,,0.02015,0.00028,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),4,70.4,0.08,(7/2-),5,817.04,0.1,15.6,1.6,[E1],,,,,,,,,,,0.00599,0.00008,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),3,47.083,0.012,(9/2+),6,840.56,0.1,23.8,2.5,,,,,,,,,,,,,,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),2,28.27,0.13,(5/2-),7,859.53,0.15,9.4,0.9,[E1],,,,,,,,,,,0.00548,0.00008,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),1,19.209,0.01,7/2+,8,868.8,0.4,2.2,0.6,,,,,,,,,,,,,,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,17,887.472,0.013,(7/2+),0,0,,5/2+,9,887.14,,,,,,,,,,,,,,,,,14-Feb-2023,C.D. Nesaraja,2025-10-17
95,150,Am,18,920.97,0.06,(9/2+ 11/2+),16,563.04,0.2,(13/2+),0,357.9,0.2,12,3,,,,,,,,,,,,,,14-Feb-2023,C.D. Nesaraja,2025-10-17
