z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
96,151,Cm,1,61.67,0.04,11/2-,0,0,,9/2-,0,61.67,0.05,,,M1+E2,0.25,0.03,,,,,,,,,37.5,2.3,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,2,134.66,0.06,13/2-,1,61.67,0.04,11/2-,0,73,0.08,35,8,[M1+E2],0.7,0.3,,,,,,,,,39,13,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,2,134.66,0.06,13/2-,0,0,,9/2-,1,134.65,0.08,100,13,[E2],,,,,,,,,,,4.94,,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,3,219.02,0.07,15/2-,2,134.66,0.06,13/2-,0,84.35,0.08,100,13,[M1+E2],,,,,,,,,,,26,15,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,3,219.02,0.07,15/2-,1,61.67,0.04,11/2-,1,157.35,0.08,50,10,[E2],,,,,,,,,,,2.56,,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,4,227.38,0.19,5/2+,1,61.67,0.04,11/2-,0,165.7,0.05,1.76,0.15,E3,,,,,,,,,,,30.4,,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,4,227.38,0.19,5/2+,0,0,,9/2-,1,227.38,0.02,100,4,M2+E3,0.52,,,,,,,,0.0033,,10.3,0.4,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,5,265.86,0.04,(7/2+),4,227.38,0.19,5/2+,0,38.48,0.05,8.8,1.4,(M1+E2),0.21,0.05,,,,,,,,,180,40,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,5,265.86,0.04,(7/2+),0,0,,9/2-,1,265.86,0.08,100,7,[E1],,,,,,,,,,,0.0565,,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,6,285.41,0.05,(7/2+),4,227.38,0.19,5/2+,0,58.03,0.05,2.1,0.4,(M1+E2),0.53,0.11,,,,,,,,,80,16,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,6,285.41,0.05,(7/2+),0,0,,9/2-,1,285.41,0.08,100,8,[E1],,,,,,,,,,,0.0484,,31-Mar-2014,C. D. NESARAJA,2025-10-17
96,151,Cm,8,314.7,0.9,17/2-,2,134.66,0.06,13/2-,0,180,1,,,,,,,,,,,,,,,,31-Mar-2014,C. D. NESARAJA,2025-10-17
