z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
12,12,Mg,1,1368.667,0.005,2+,0,0,,0+,0,1368.625,0.005,100,,E2,,,,,21.07,,,,,,0.0000562,0.0000008,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,2,4122.853,0.012,4+,1,1368.667,0.005,2+,0,2754.016,0.011,100,,E2,,,,,35.7,,,,,,0.000678,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,3,4238.35,0.04,2+,1,1368.667,0.005,2+,0,2869.5,0.06,27.8,0.8,M1+E2,-23,9,,,3.36,,0.000008,,,,0.00073,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,3,4238.35,0.04,2+,0,0,,0+,1,4237.96,0.06,100,0.6,[E2],,,,,1.72,,,,,,0.00125,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,4,5235.16,0.05,3+,3,4238.35,0.04,2+,0,996.83,0.1,2.63,0.14,D+Q,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,4,5235.16,0.05,3+,1,1368.667,0.005,2+,1,3866.15,0.1,100,0.5,E2(+M1),-17,4,,,2.08,,0.000017,,,,0.00112,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,4,5235.16,0.05,3+,0,0,,0+,2,5235,,10,3,[M3],,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,5,6010.34,0.05,4+,4,5235.16,0.05,3+,0,775.4,0.2,1.6,0.2,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,5,6010.34,0.05,4+,3,4238.35,0.04,2+,1,1771.92,0.07,11.4,0.4,[E2],,,,,14.9,,,,,,0.000211,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
12,12,Mg,5,6010.34,0.05,4+,2,4122.853,0.012,4+,2,1887.52,0.2,1.64,0.18,,,,,,,,,,,,,,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-10-17
