z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
98,152,Cf,1,42.721,0.005,2+,0,0,,0+,0,42.721,0.005,,,E2,,,,,340,,,,,,1293,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,2,141.875,0.01,4+,1,42.721,0.005,2+,0,99.16,0.01,,,E2,,,,,,,,,,,23.8,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,3,296.22,0.06,6+,2,141.875,0.01,4+,0,154.35,0.06,,,E2,,,,,,,,,,,3.33,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,5,871.57,0.03,2-,1,42.721,0.005,2+,0,828.81,0.03,,,E1,,,,,,,,,,,0.00657,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,6,905.89,0.02,3-,5,871.57,0.03,2-,0,34.325,0.005,1.3,0.2,M1+E2,0.42,0.05,,,,,,,,,740,110,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,6,905.89,0.02,3-,2,141.875,0.01,4+,1,764.2,0.1,78,4,E1,,,,,,,,,,,0.00758,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,6,905.89,0.02,3-,1,42.721,0.005,2+,2,863.2,0.1,100,6,E1,,,,,,,,,,,0.00613,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,7,951.98,0.02,4-,6,905.89,0.02,3-,0,46.093,0.005,2.1,0.3,M1+E2,0.4,0.02,,,,,,,,,200,10,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,7,951.98,0.02,4-,5,871.57,0.03,2-,1,80.412,0.01,3.2,0.4,E2,,,,,,,,,,,63.3,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,7,951.98,0.02,4-,2,141.875,0.01,4+,2,810.2,0.1,100,6,E1,,,,,,,,,,,0.00684,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,8,1008.51,0.02,5-,7,951.98,0.02,4-,0,56.527,0.013,6.7,0.8,M1+E2,0.37,,,,,,,,,,80,40,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,8,1008.51,0.02,5-,6,905.89,0.02,3-,1,102.623,0.01,15.7,2.3,E2,,,,,,,,,,,20.28,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,8,1008.51,0.02,5-,3,296.22,0.06,6+,2,712.3,0.1,100,7,[E1],,,,,,,,,,,0.00859,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,8,1008.51,0.02,5-,2,141.875,0.01,4+,3,866.7,0.1,97,8,[E1],,,,,,,,,,,0.00608,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,9,1031.852,0.021,2+,6,905.89,0.02,3-,0,126.01,0.03,0.014,0.0012,[E1],,,0.0000068,,,,,,,,0.0834,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,9,1031.852,0.021,2+,5,871.57,0.03,2-,1,160.26,0.04,0.063,0.004,[E1],,,0.000015,,,,,,,,0.1859,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,9,1031.852,0.021,2+,2,141.875,0.01,4+,2,889.956,0.022,3.4,0.05,[E2],,,,,0.211,,,,,,0.01961,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,9,1031.852,0.021,2+,1,42.721,0.005,2+,3,989.125,0.021,100,,E2,,,,,3.7,,,,,,0.01603,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,9,1031.852,0.021,2+,0,0,,0+,4,1031.852,0.021,79.1,1.2,E2,,,,,2.3,,,,,,0.0148,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,11,1071.37,0.02,3+,7,951.98,0.02,4-,0,119.4,0.3,0.014,0.005,[E1],,,,,,,,,,,0.0956,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,11,1071.37,0.02,3+,6,905.89,0.02,3-,1,165.44,0.15,0.028,0.004,[E1],,,,,,,,,,,0.1726,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,11,1071.37,0.02,3+,5,871.57,0.03,2-,2,199.72,0.2,0.022,0.003,[E1],,,,,,,,,,,0.1127,,1-Aug-2001,Y. Akovali,2025-10-17
98,152,Cf,11,1071.37,0.02,3+,2,141.875,0.01,4+,3,929.468,0.022,25.1,0.4,[E2],,,,,,,,,,,0.018,,1-Aug-2001,Y. Akovali,2025-10-17
