z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
97,154,Bk,1,32.5,0.6,(5/2-),0,0,,(3/2-),0,32.6,,100,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,5,269.1,1,(5/2+),2,35.5,1.4,(7/2+),0,233.6,,100,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,5,269.1,1,(5/2+),0,0,,(3/2-),1,269.1,,,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,6,311.7,1,(1/2+),0,0,,(3/2-),0,311.7,,100,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,7,422.3,0.8,(3/2-),1,32.5,0.6,(5/2-),0,389.7,,100,15,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,7,422.3,0.8,(3/2-),0,0,,(3/2-),1,422.3,,56,7,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,8,438.2,1,(1/2-),0,0,,(3/2-),0,438.2,,100,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,9,542.6,0.8,(1/2-),0,0,,(3/2-),0,542.7,,100,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,10,562.5,0.7,(3/2-),1,32.5,0.6,(5/2-),0,530,,100,7,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,10,562.5,0.7,(3/2-),0,0,,(3/2-),1,562.5,,63,20,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,11,978.4,0.6,(1/2- 3/2-),10,562.5,0.7,(3/2-),0,415.9,,16,7,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,11,978.4,0.6,(1/2- 3/2-),9,542.6,0.8,(1/2-),1,435.8,,15,5,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,11,978.4,0.6,(1/2- 3/2-),1,32.5,0.6,(5/2-),2,945.9,,15,8,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
97,154,Bk,11,978.4,0.6,(1/2- 3/2-),0,0,,(3/2-),3,978.2,,100,13,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17

