z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
99,152,Es,3,55.85,0.23,(9/2)+,1,8.34,0.23,(7/2)+,0,47.48,0.06,100,,M1+E2,0.243,,,,,,,,,,125,9,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,10,461.4,0.22,7/2-,4,76.1,0.3,7/2-,0,385.3,0.2,2.1,0.2,(M1+E2),,,,,,,,,,,0.54,0.4,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,10,461.4,0.22,7/2-,3,55.85,0.23,(9/2)+,1,405.55,0.09,68.2,3.4,E1+M2,0.179,0.009,,,,,,,,,0.091,0.007,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,10,461.4,0.22,7/2-,2,31.7,0.2,5/2-,2,429.7,0.1,5.7,0.5,(M1+E2),,,,,,,,,,,0.4,0.3,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,10,461.4,0.22,7/2-,1,8.34,0.23,(7/2)+,3,453.06,0.09,100,,E1+M2,0.236,,,,,,,,,,0.1,0.012,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,15,777.94,0.24,(9/2)+,5,114.08,0.24,(11/2+),0,664,0.3,4.3,0.8,(M1+E2),,,,,,,,,,,0.125,0.088,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,15,777.94,0.24,(9/2)+,3,55.85,0.23,(9/2)+,1,722.1,0.2,21,2,M1+E2,0.5,,,,,,,,,,0.142,0.025,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,15,777.94,0.24,(9/2)+,1,8.34,0.23,(7/2)+,2,769.6,0.1,100,,M1,,,,,,,,,,,0.1429,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,16,889.1,0.24,(11/2)+,6,182.6,0.3,(13/2+),0,706.3,0.2,1.1,0.1,(M1+E2),,,,,,,,,,,0.106,0.074,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,16,889.1,0.24,(11/2)+,5,114.08,0.24,(11/2+),1,775,0.1,3.9,0.039,(M1+E2),,,,,,,,,,,0.084,0.057,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,16,889.1,0.24,(11/2)+,3,55.85,0.23,(9/2)+,2,833.3,0.1,29,2,M1+E2,2.21,,,,,,,,,,0.039,0.004,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,16,889.1,0.24,(11/2)+,1,8.34,0.23,(7/2)+,3,880.8,0.1,100,,E2,,,,,,,,,,,0.0209,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,18,957.52,0.24,(13/2)+,7,263,0.4,(15/2+),0,694.5,0.3,12,2,(M1+E2),,,,,,,,,,,0.111,0.078,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,18,957.52,0.24,(13/2)+,6,182.6,0.3,(13/2+),1,775,0.1,32,3.2,(M1+E2),,,,,,,,,,,0.084,0.057,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,18,957.52,0.24,(13/2)+,5,114.08,0.24,(11/2+),2,843.4,0.1,92,8,M1+E2,0.72,,,,,,,,,,0.081,0.012,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,18,957.52,0.24,(13/2)+,3,55.85,0.23,(9/2)+,3,901.6,0.1,100,,E2,,,,,,,,,,,0.02,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,18,957.52,0.24,(13/2)+,0,281.4,0.1,8.6,0.6,M1,,,,,,,,,,,2.24,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,16,889.1,0.24,(11/2)+,1,349.9,0.1,100,,M1,,,,,,,,,,,1.223,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,15,777.94,0.24,(9/2)+,2,461,0.1,11,1,(M1+E2),,,,,,,,,,,0.33,0.25,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,6,182.6,0.3,(13/2+),3,1056.2,0.4,0.7,0.1,(M1+E2),,,,,,,,,,,0.038,0.023,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,5,114.08,0.24,(11/2+),4,1124.9,0.2,3.3,0.4,(M1+E2),,,,,,,,,,,0.032,0.019,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,3,55.85,0.23,(9/2)+,5,1183,0.2,8.8,0.6,(M1+E2),,,,,,,,,,,0.028,0.017,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,19,1238.95,0.24,(11/2)+,1,8.34,0.23,(7/2)+,6,1230.6,0.2,16,1,E2,,,,,,,,,,,0.01111,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,20,1264.94,0.24,(11/2)+,18,957.52,0.24,(13/2)+,0,307.4,0.1,9.7,0.8,(M1+E2),,,,,,,,,,,1.01,0.74,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,20,1264.94,0.24,(11/2)+,16,889.1,0.24,(11/2)+,1,375.8,0.1,100,,M1,,,,,,,,,,,1.005,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,20,1264.94,0.24,(11/2)+,15,777.94,0.24,(9/2)+,2,487.1,0.2,3,0.5,(M1+E2),,,,,,,,,,,0.28,0.21,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,20,1264.94,0.24,(11/2)+,5,114.08,0.24,(11/2+),3,1151,0.2,4.1,0.5,(M1+E2),,,,,,,,,,,0.03,0.018,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,20,1264.94,0.24,(11/2)+,3,55.85,0.23,(9/2)+,4,1209.1,0.2,9.5,0.8,(M1+E2),,,,,,,,,,,0.027,0.016,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,20,1264.94,0.24,(11/2)+,1,8.34,0.23,(7/2)+,5,1256.6,0.2,18,1,E2,,,,,,,,,,,0.01069,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,21,1301.4,0.3,(7/2+ 9/2 11/2),3,55.85,0.23,(9/2)+,0,1245.6,0.4,16,2,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,21,1301.4,0.3,(7/2+ 9/2 11/2),1,8.34,0.23,(7/2)+,1,1293,0.3,100,,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
99,152,Es,22,1307.1,0.3,(7/2+ 9/2 11/2+),5,114.08,0.24,(11/2+),0,1193,0.2,21,2,,,,,,,,,,,,,,23-Sep-2022,C. Morse,2025-10-17
