z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
102,150,No,1,46.4,1,(2+),0,0,,0+,0,46.4,1,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,2,153.6,1.3,(4+),1,46.4,1,(2+),0,107,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,3,320.6,1.3,(6+),2,153.6,1.3,(4+),0,166.9,0.3,100,,(E2),,,,,,,,,,,3.09,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,4,544.4,1.3,(8+),3,320.6,1.3,(6+),0,223.8,0.2,100,,(E2),,,,,,,,,,,0.97,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,5,821.6,1.3,(10+),4,544.4,1.3,(8+),0,277.2,0.2,100,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,6,929.1,1.3,(2-),1,46.4,1,(2+),0,883,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,7,966.4,1.3,(3-),1,46.4,1,(2+),0,920,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,8,1014.9,1.3,(4-),6,929.1,1.3,(2-),0,86,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,8,1014.9,1.3,(4-),2,153.6,1.3,(4+),1,861,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,9,1073.4,1.3,(5-),7,966.4,1.3,(3-),0,107,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,9,1073.4,1.3,(5-),2,153.6,1.3,(4+),1,920,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,10,1147.9,1.3,(6-),9,1073.4,1.3,(5-),0,75,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,10,1147.9,1.3,(6-),8,1014.9,1.3,(4-),1,133,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,10,1147.9,1.3,(6-),3,320.6,1.3,(6+),2,827,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,11,1150,1.3,(12+),5,821.6,1.3,(10+),0,328.4,0.3,100,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
102,150,No,12,1229.8,1.4,(7-),9,1073.4,1.3,(5-),0,156,,,,,,,,,,,,,,,,,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-10-17
