z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
100,153,Fm,1,22.3,0.1,(3/2+),0,0,,1/2+,0,22.3,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,2,47.1,0.2,(5/2+),1,22.3,0.1,(3/2+),0,24.8,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,2,47.1,0.2,(5/2+),0,0,,1/2+,1,47.1,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,3,124.1,0.1,3/2+,2,47.1,0.2,(5/2+),0,77,0.2,100,8,M1,,,,,,,,,,,22.4,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,3,124.1,0.1,3/2+,1,22.3,0.1,(3/2+),1,101.8,0.1,57,13,(M1),,,,,,,,,,,9.97,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,3,124.1,0.1,3/2+,0,0,,1/2+,2,124.1,0.1,78,28,M1,,,,,,,,,,,5.63,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,5,158.7,0.2,(5/2+),1,22.3,0.1,(3/2+),0,136.4,0.2,100,,(M1),,,,,,,,,,,4.29,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,8,211,,11/2-,7,135,,11/2+,0,76.8,,,,(E1),,,,,,,,,,,0.307,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,8,211,,11/2-,6,60,,9/2+,1,150.5,0.5,,,(E1),,,,,,,,,,,0.215,0.004,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,9,398,,9/2+,8,211,,11/2-,0,188,0.5,,,(E1),,,,,,,,,,,0.1317,0.002,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,9,398,,9/2+,6,60,,9/2+,1,338.2,0.5,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
100,153,Fm,9,398,,9/2+,4,,,7/2+,2,398.2,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17

