z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
103,152,Lr,4,69.5,0.4,(11/2+),3,,,(9/2+),0,69.5,0.4,100,,[M1],,,,,,,,,,,41.7,1,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,5,151.8,0.5,(13/2+),4,69.5,0.4,(11/2+),0,82.3,0.3,100,,[M1],,,,,,,,,,,25.5,0.5,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,6,196.6,0.5,5/2-,0,0,,[1/2-],0,196.6,0.5,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,7,227,1,(11/2-),1,38,10,[7/2-],0,189,1,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,8,253,1,(13/2-),2,38,,(9/2-),0,215,1,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,9,246.5,0.5,(15/2+),5,151.8,0.5,(13/2+),0,94.7,0.3,100,,[M1],,,,,,,,,,,16.9,0.3,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,9,246.5,0.5,(15/2+),4,69.5,0.4,(11/2+),1,177,0.4,33,11,[E2],,,,,,,,,,,2.79,0.05,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,10,353.4,0.6,(17/2+),9,246.5,0.5,(15/2+),0,107,,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,11,443.8,0.7,9/2-,6,196.6,0.5,5/2-,0,247.2,0.5,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,12,466,1.5,(15/2-),,,,,0,239,1,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,13,517.6,1.2,(17/2-),8,253,1,(13/2-),0,264.6,0.5,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,14,740,0.9,(13/2-),11,443.8,0.7,9/2-,0,296.2,0.5,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,15,754.4,1.5,(19/2-),,,,,0,288.4,0.4,100,,,,,,,,,,,,,,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,16,740,0.5,(15/2+),10,353.4,0.6,(17/2+),0,386.6,0.4,23,8,[M1],,,,,,,,,,,1.341,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,16,740,0.5,(15/2+),9,246.5,0.5,(15/2+),1,493.5,0.3,100,14,[M1],,,,,,,,,,,0.685,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
103,152,Lr,16,740,0.5,(15/2+),5,151.8,0.5,(13/2+),2,588.1,0.3,91,15,[M1],,,,,,,,,,,0.424,,1-Nov-2011,E. BROWNE and  J. K. TULI,2025-10-17
