z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
104,153,Rf,3,148,1,(13/2-),2,75,,(11/2-),0,73,,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,4,157,1,(3/2+),1,50,1,[5/2+],0,107.3,,,,[M1],,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,4,157,1,(3/2+),0,0,,(1/2+),1,157,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,5,234,1,(15/2-),3,148,1,(13/2-),0,86,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,5,234,1,(15/2-),2,75,,(11/2-),1,159,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,6,334,1,(17/2-),5,234,1,(15/2-),0,100,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,6,334,1,(17/2-),3,148,1,(13/2-),1,186,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,7,446,1,(19/2-),6,334,1,(17/2-),0,112,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,7,446,1,(19/2-),5,234,1,(15/2-),1,212,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,8,572,1,(21/2-),7,446,1,(19/2-),0,126,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,8,572,1,(21/2-),6,334,1,(17/2-),1,238,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,9,711,1,(23/2-),8,572,1,(21/2-),0,139,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,9,711,1,(23/2-),7,446,1,(19/2-),1,265,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,10,1157,1,(21/2 23/2),9,711,1,(23/2-),0,446,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17
104,153,Rf,10,1157,1,(21/2 23/2),8,572,1,(21/2-),1,585,1,,,,,,,,,,,,,,,,1-Mar-2012,E. BROWNE and  J. K. TULI,2025-10-17

