z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
12,13,Mg,1,585.045,0.021,1/2+,0,0,,5/2+,0,585.028,0.03,100,,E2,,,,,0.563,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,2,974.756,0.022,3/2+,1,585.045,0.021,1/2+,0,389.71,0.035,84.8,1.5,M1+E2,0.13,0.03,,,11,,0.0166,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,2,974.756,0.022,3/2+,0,0,,5/2+,1,974.742,0.035,100,1.5,M1+E2,0.36,0.02,,,0.91,,0.00113,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,3,1611.768,0.011,7/2+,0,0,,5/2+,0,1611.712,0.011,100,,M1+E2,-0.189,0.012,,,24,,0.3,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,4,1964.624,0.023,5/2+,2,974.756,0.022,3/2+,0,989.865,0.03,71.9,1.4,M1+E2,-0.25,0.02,,,3.5,,0.0093,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,4,1964.624,0.023,5/2+,1,585.045,0.021,1/2+,1,1379.543,0.03,100,2.2,E2,,,,,15.8,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,4,1964.624,0.023,5/2+,0,0,,5/2+,2,1964.501,0.045,63.4,1,M1+E2,-0.6,0.1,,,0.45,,0.00082,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,5,2563.36,0.05,1/2+,2,974.756,0.022,3/2+,0,1588.52,0.09,27,3,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,5,2563.36,0.05,1/2+,1,585.045,0.021,1/2+,1,1978.22,0.05,100,4,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,5,2563.36,0.05,1/2+,0,0,,5/2+,2,2563.6,0.4,5,1.4,E2,,,,,4,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,6,2737.8,0.3,7/2+,4,1964.624,0.023,5/2+,0,773.1,0.7,8,0.7,M1+E2,0.47,,,,20,,0.0094,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,6,2737.8,0.3,7/2+,2,974.756,0.022,3/2+,1,1763.5,0.7,100,2.3,E2,,,,,22.9,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,6,2737.8,0.3,7/2+,0,0,,5/2+,2,2738,0.6,6.9,1.1,M1+E2,-1.2,0.6,,,0.1,,0.00009,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,7,2801.46,0.03,3/2+,4,1964.624,0.023,5/2+,0,836.841,0.05,100,2.5,M1(+E2),-0.03,0.03,,,5,,0.61,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,7,2801.46,0.03,3/2+,1,585.045,0.021,1/2+,1,2216.267,0.05,89.9,2,M1+E2,0.21,0.09,,,1.5,,0.028,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,7,2801.46,0.03,3/2+,0,0,,5/2+,2,2801.312,0.035,47.5,1.5,M1+E2,-0.64,0.08,,,1.7,,0.0055,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,8,3405.06,0.17,9/2+,3,1611.768,0.011,7/2+,0,1793.1,0.3,100,2,M1+E2,-0.13,0.03,,,12,,0.4,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,8,3405.06,0.17,9/2+,0,0,,5/2+,1,3404.7,0.4,22.7,2,E2,,,,,6.8,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,9,3413.374,0.003,3/2-,5,2563.36,0.05,1/2+,0,849.93,0.16,0.3,0.07,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,9,3413.374,0.003,3/2-,2,974.756,0.022,3/2+,1,2438.47,0.04,19.1,1,E1(+M2),0.2,,0.0007,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,9,3413.374,0.003,3/2-,1,585.045,0.021,1/2+,2,2828.21,0.2,100,5,E1,,,0.0037,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,9,3413.374,0.003,3/2-,0,0,,5/2+,3,3413.14,0.05,16.7,0.8,E1(+M2),0.2,,0.00018,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,10,3907.9,0.4,5/2+,7,2801.46,0.03,3/2+,0,1106.1,1.1,15.2,1.5,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,10,3907.9,0.4,5/2+,6,2737.8,0.3,7/2+,1,1170.6,0.9,19.7,1.5,[M1],,,,,,,0.3,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,10,3907.9,0.4,5/2+,2,974.756,0.022,3/2+,2,2932.2,0.9,100,3,M1(+E2),-0.02,0.05,,,0.03,,0.1,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,10,3907.9,0.4,5/2+,0,0,,5/2+,3,3907.6,0.9,16.7,1.5,M1(+E2),-0.47,0.05,,,0.48,,0.0056,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,11,3970.73,0.19,7/2-,4,1964.624,0.023,5/2+,0,2006,0.3,18.5,1.2,E1(+M2),-0.04,0.04,0.00068,,,,,,1.2,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,11,3970.73,0.19,7/2-,3,1611.768,0.011,7/2+,1,2358.6,0.6,2.5,1.2,[E1],,,0.00006,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,11,3970.73,0.19,7/2-,0,0,,5/2+,2,3970.3,0.7,100,2.5,E1(+M2),-0.02,0.03,0.00047,,,,,,0.06,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,12,4059.6,0.3,9/2+,8,3405.06,0.17,9/2+,0,654.4,,1.7,0.3,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,12,4059.6,0.3,9/2+,3,1611.768,0.011,7/2+,1,2450.5,1,65,1.7,M1+E2,-0.46,0.1,,,2.1,,0.0102,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,12,4059.6,0.3,9/2+,0,0,,5/2+,2,4058.9,0.5,100,1.7,E2,,,,,1.51,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,13,4277.1,0.4,1/2-,9,3413.374,0.003,3/2-,0,863.8,1.1,5.1,1.3,[M1],,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,13,4277.1,0.4,1/2-,5,2563.36,0.05,1/2+,1,1712.5,0.8,15.2,1.3,E1,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,13,4277.1,0.4,1/2-,2,974.756,0.022,3/2+,2,3302.5,0.7,100,2.5,[E1],,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,13,4277.1,0.4,1/2-,1,585.045,0.021,1/2+,3,3692.1,0.7,6.3,1.3,E1,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,14,4359.61,0.14,3/2+,5,2563.36,0.05,1/2+,0,1795.7,1,1.9,1,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,14,4359.61,0.14,3/2+,2,974.756,0.022,3/2+,1,3384.6,0.2,90,4,M1+E2,0.09,0.07,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,14,4359.61,0.14,3/2+,1,585.045,0.021,1/2+,2,3774.3,0.2,100,4,M1(+E2),-0.19,0.19,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
12,13,Mg,15,4711.6,0.4,9/2+,6,2737.8,0.3,7/2+,0,1973.5,1.3,6.4,1.1,,,,,,,,,,,,,,1-Feb-2008,R.B. FIRESTONE,2025-10-17
