z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13,19,Al,1,734.7,0.3,(2+),0,0,,1+,0,734.6,0.3,100,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,2,956.6,0.5,(4+),1,734.7,0.3,(2+),0,221.9,0.3,100,,[E2],,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,3,1178,0.7,(4-),2,956.6,0.5,(4+),0,221.4,0.5,100,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,4,1743.3,0.9,,3,1178,0.7,(4-),0,565,,67,11,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,4,1743.3,0.9,,2,956.6,0.5,(4+),1,787,,100,11,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,4,1743.3,0.9,,0,0,,1+,2,1743,,310,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,5,2765.1,0.7,1+,1,734.7,0.3,(2+),0,2030,,6,1.3,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,5,2765.1,0.7,1+,0,0,,1+,1,2765.3,0.9,100,2.2,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,6,3202,0.8,1+,1,734.7,0.3,(2+),0,2466.9,1.2,100,10,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17
13,19,Al,6,3202,0.8,1+,0,0,,1+,1,3202,,49,6,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-17

