z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16,18,S,1,2127.564,0.013,2+,0,0,,0+,0,2127.499,0.02,100,,E2,,,,,6.24,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,2,3304.212,0.013,2+,1,2127.564,0.013,2+,0,1176.65,0.02,100,0.9,M1+E2,-0.16,0.02,,,3.8,,0.052,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,2,3304.212,0.013,2+,0,0,,0+,1,3304.031,0.02,87.2,0.9,E2,,,,,0.75,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,3,3916.408,0.021,0+,2,3304.212,0.013,2+,0,612.16,0.05,0.33,0.04,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,3,3916.408,0.021,0+,1,2127.564,0.013,2+,1,1788.794,0.02,100,10,E2,,,,,4.2,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,3,3916.408,0.021,0+,0,0,,0+,2,3916.2,,2,,[E0],,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,4,4074.667,0.014,1+,3,3916.408,0.021,0+,0,158.3,,0.2,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,4,4074.667,0.014,1+,2,3304.212,0.013,2+,1,770.428,0.02,8.9,0.8,D,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,4,4074.667,0.014,1+,1,2127.564,0.013,2+,2,1947.06,0.02,94,10,M1+E2,1.3,,,,26,,0.0039,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,4,4074.667,0.014,1+,0,0,,0+,3,4074.418,0.02,100,10,D,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,5,4114.813,0.023,2+,3,3916.408,0.021,0+,0,198.4,,0.35,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,5,4114.813,0.023,2+,2,3304.212,0.013,2+,1,810.6,,0.7,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,5,4114.813,0.023,2+,1,2127.564,0.013,2+,2,1987.19,0.03,76,8,M1+E2,-0.4,0.05,,,2.3,,0.0143,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,5,4114.813,0.023,2+,0,0,,0+,3,4114.52,0.04,100,10,E2,,,,,0.57,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,6,4624.404,0.016,3-,5,4114.813,0.023,2+,0,509.6,1.2,4,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,6,4624.404,0.016,3-,4,4074.667,0.014,1+,1,549.7,,0.13,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,6,4624.404,0.016,3-,3,3916.408,0.021,0+,2,708,,0.29,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,6,4624.404,0.016,3-,2,3304.212,0.013,2+,3,1320.169,0.02,100,11,D,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,6,4624.404,0.016,3-,1,2127.564,0.013,2+,4,2496.726,0.02,41,4,D,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,6,4624.404,0.016,3-,0,0,,0+,5,4624.2,0.5,0.55,0.13,[E3],,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,7,4688.98,0.05,4+,5,4114.813,0.023,2+,0,573.4,1.1,3,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,7,4688.98,0.05,4+,4,4074.667,0.014,1+,1,615.7,1.2,4,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,7,4688.98,0.05,4+,3,3916.408,0.021,0+,2,774.5,1.2,7,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
16,18,S,7,4688.98,0.05,4+,2,3304.212,0.013,2+,3,1384.4,0.8,2,,,,,,,,,,,,,,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-10-17
