z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
15,20,P,1,2386.6,0.5,3/2+,0,0,,1/2+,0,2386.3,0.6,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,2,3859.9,0.5,5/2+,1,2386.6,0.5,3/2+,0,1473.3,0.5,15,2,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,2,3859.9,0.5,5/2+,0,0,,1/2+,1,3860.2,1,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,3,4101.5,0.5,(7/2-),2,3859.9,0.5,5/2+,0,241.4,0.3,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,3,4101.5,0.5,(7/2-),1,2386.6,0.5,3/2+,1,1714.8,0.6,7,2,[M2],,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,3,4101.5,0.5,(7/2-),0,0,,1/2+,2,4101.4,1,54,8,[E3],,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,5,4381.8,0.7,,1,2386.6,0.5,3/2+,0,1994.9,0.6,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,6,4493.6,0.6,(7/2-),3,4101.5,0.5,(7/2-),0,392.2,0.4,100,5,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,6,4493.6,0.6,(7/2-),2,3859.9,0.5,5/2+,1,633.7,0.5,17,3,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,8,4765.9,0.9,,6,4493.6,0.6,(7/2-),0,273,1,26,5,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,8,4765.9,0.9,,3,4101.5,0.5,(7/2-),1,663,1,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,9,4869.3,0.6,,6,4493.6,0.6,(7/2-),0,374,1,60,20,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,9,4869.3,0.6,,5,4381.8,0.7,,1,487,1,60,20,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,9,4869.3,0.6,,3,4101.5,0.5,(7/2-),2,767.9,0.4,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,9,4869.3,0.6,,2,3859.9,0.5,5/2+,3,1009.7,0.5,20,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,10,4959.3,0.8,,6,4493.6,0.6,(7/2-),0,466,1,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,10,4959.3,0.8,,3,4101.5,0.5,(7/2-),1,856,1,93,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,12,5087.5,0.9,,10,4959.3,0.8,,0,128,1,52,8,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,12,5087.5,0.9,,8,4765.9,0.9,,1,321,1,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,14,5487.5,0.9,,6,4493.6,0.6,(7/2-),0,993,1,100,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,14,5487.5,0.9,,3,4101.5,0.5,(7/2-),1,1387,1,60,20,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,15,5560.7,0.8,,3,4101.5,0.5,(7/2-),0,1459.4,0.7,34,12,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,15,5560.7,0.8,,1,2386.6,0.5,3/2+,1,3173.5,1,100,17,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,17,6220.5,0.9,,12,5087.5,0.9,,0,1132,1,25,,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,17,6220.5,0.9,,10,4959.3,0.8,,1,1260,1,100,20,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17
15,20,P,17,6220.5,0.9,,6,4493.6,0.6,(7/2-),2,1729,1,200,20,,,,,,,,,,,,,,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2025-10-17

