z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
20,19,Ca,1,2466.9,0.5,1/2+,0,0,,3/2+,0,2467.2,0.5,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,2,2796.1,0.6,7/2-,0,0,,3/2+,0,2795.9,0.7,100,,M2+E3,-0.13,0.07,,,,,,,0.25,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,3,3025.1,0.9,3/2-,0,0,,3/2+,0,3023.6,1,100,,E1+M2,-0.07,0.02,0.001,,,,,,2.5,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,4,3639.6,0.8,(9/2-),2,2796.1,0.6,7/2-,0,844,1,100,13,(M1+E2),-0.24,0.04,,,0.4,,0.0015,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,4,3639.6,0.8,(9/2-),0,0,,3/2+,1,3639.3,1,34,9,(E3),,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,5,3823.6,1.5,(1/2 3/2 5/2),3,3025.1,0.9,3/2-,0,798,1.5,,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,5,3823.6,1.5,(1/2 3/2 5/2),0,0,,3/2+,1,3823.4,1.5,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,6,3870,0.9,,0,0,,3/2+,0,3869.8,0.9,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,7,3882,2,(3/2- 5/2 7/2+),2,2796.1,0.6,7/2-,0,1086,,,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,7,3882,2,(3/2- 5/2 7/2+),0,0,,3/2+,1,3882,,,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,8,3891.1,0.9,(11/2-),4,3639.6,0.8,(9/2-),0,252,,51,6,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,8,3891.1,0.9,(11/2-),2,2796.1,0.6,7/2-,1,1094.5,1,100,12,[E2],,,,,1.2,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,9,3935.7,0.7,(3/2-),0,0,,3/2+,0,3935.5,0.7,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,10,3951.8,0.8,(3/2-),2,2796.1,0.6,7/2-,0,1155.3,1,43,14,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,10,3951.8,0.8,(3/2-),0,0,,3/2+,1,3952,,100,14,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,11,4020.7,1.7,1/2+,3,3025.1,0.9,3/2-,0,995.6,,25,13,[E1],,,0.00028,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,11,4020.7,1.7,1/2+,1,2466.9,0.5,1/2+,1,1553.8,,100,13,[M1],,,,,,,0.011,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,20,5151,2,(11/2-),8,3891.1,0.9,(11/2-),0,1260,1,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,25,5402,2,(13/2-),8,3891.1,0.9,(11/2-),0,1511,1,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,37,6432,2,(15/2+),25,5402,2,(13/2-),0,1030,1,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,45,6900,2,(15/2-),20,5151,2,(11/2-),0,1749,1,73,6,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,45,6900,2,(15/2-),8,3891.1,0.9,(11/2-),1,3008,2,100,9,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17
20,19,Ca,61,7750,2,(19/2-),45,6900,2,(15/2-),0,850,1,100,,,,,,,,,,,,,,,1-Jan-2018,JUN CHEN,2025-10-17

