z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
17,23,Cl,1,211.62,0.13,(1-),0,0,,2-,0,211.59,0.11,100,,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,2,244.03,0.08,(3-),0,0,,2-,0,244.02,0.08,100,,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,3,367.1,0.4,(2),1,211.62,0.13,(1-),0,155.5,0.3,100,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,4,431.8,0.3,(1:3+),0,0,,2-,0,431.58,0.07,100,,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,5,601.28,0.14,(4-),2,244.03,0.08,(3-),0,357.37,0.14,100,5,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,5,601.28,0.14,(4-),0,0,,2-,1,601.1,0.1,9.1,1.2,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,6,680.95,0.17,(4-),2,244.03,0.08,(3-),0,436.9,0.1,100,,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,7,839.16,0.15,(5-),6,680.95,0.17,(4-),0,157.8,0.3,9.7,0.7,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,7,839.16,0.15,(5-),5,601.28,0.14,(4-),1,237.92,0.09,100,3,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,7,839.16,0.15,(5-),2,244.03,0.08,(3-),2,594.9,0.4,7.4,1.6,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,8,889.5,0.4,1+,4,431.8,0.3,(1:3+),0,457.4,0.6,15,4,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,8,889.5,0.4,1+,1,211.62,0.13,(1-),1,677.41,0.12,100,14,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,8,889.5,0.4,1+,0,0,,2-,2,889.06,0.17,40,6,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,9,1160,40,(4-),,,,,0,563.3,0.4,100,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,10,1293.3,0.5,(0- 1 2),8,889.5,0.4,1+,0,403.7,0.12,33,4,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,10,1293.3,0.5,(0- 1 2),1,211.62,0.13,(1-),1,1081.33,0.18,100,13,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,10,1293.3,0.5,(0- 1 2),0,0,,2-,2,1292.87,0.21,43,6,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,13,2014.7,0.4,(6-),7,839.16,0.15,(5-),0,1175.4,0.3,100,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,14,2194.2,0.3,(5),6,680.95,0.17,(4-),0,1513.6,0.4,100,33,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,14,2194.2,0.3,(5),5,601.28,0.14,(4-),1,1592.5,0.4,42,8,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,15,2307.2,0.7,1+,10,1293.3,0.5,(0- 1 2),0,1013.57,0.13,100,6,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,15,2307.2,0.7,1+,4,431.8,0.3,(1:3+),1,1874.41,0.19,89,11,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,16,2413.7,0.4,(6),14,2194.2,0.3,(5),0,219.52,0.13,100,,(D),,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,17,2620.4,0.5,(7-),13,2014.7,0.4,(6-),0,605.4,0.6,100,30,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,17,2620.4,0.5,(7-),7,839.16,0.15,(5-),1,1781.4,0.5,42,15,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17
17,23,Cl,18,4087.1,0.8,(8-),17,2620.4,0.5,(7-),0,1466.7,0.6,100,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-17

