z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
18,24,Ar,1,1208.22,0.13,2+,0,0,,0+,0,1208.17,0.13,100,,E2,,,,,9.8,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,2,2413.8,0.6,(4+),1,1208.22,0.13,2+,0,1205.6,0.5,100,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,3,2485.9,0.3,2+,1,1208.22,0.13,2+,0,1277.7,0.3,100,4,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,3,2485.9,0.3,2+,0,0,,0+,1,2486.1,0.8,15.5,2.5,E2,,,,,0.33,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,4,2512.5,0.4,(0+:4+),1,1208.22,0.13,2+,0,1304.3,0.3,100,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,5,3013.7,0.3,(1 2+),1,1208.22,0.13,2+,0,1806.2,0.4,100,7,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,5,3013.7,0.3,(1 2+),0,0,,0+,1,3014.6,0.8,61,7,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,6,3096.1,0.5,4+,1,1208.22,0.13,2+,0,1887.8,0.4,100,,E2(+M3),0.07,0.08,,,0.76,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,7,3557.9,0.4,2+,1,1208.22,0.13,2+,0,2349.6,0.3,100,2,D(+Q),0,0.07,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,7,3557.9,0.4,2+,0,0,,0+,1,3557.7,,11,2,[E2],,,,,0.18,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,8,3564.3,0.6,(6+),2,2413.8,0.6,(4+),0,1150.4,0.3,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,11,4005.3,0.4,2+,5,3013.7,0.3,(1 2+),0,991.6,,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,11,4005.3,0.4,2+,3,2485.9,0.3,2+,1,1519.4,0.22,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,11,4005.3,0.4,2+,1,1208.22,0.13,2+,2,2797,,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,12,4013.6,0.8,,3,2485.9,0.3,2+,0,1527.7,,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,12,4013.6,0.8,,2,2413.8,0.6,(4+),1,1598.5,0.8,25,4,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,12,4013.6,0.8,,1,1208.22,0.13,2+,2,2805.3,0.7,100,8,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,12,4013.6,0.8,,0,0,,0+,3,4013.4,,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,13,4045.8,0.4,,3,2485.9,0.3,2+,0,1560.1,0.5,32.6,2.1,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,13,4045.8,0.4,,1,1208.22,0.13,2+,1,2837.3,0.5,100,4,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,13,4045.8,0.4,,0,0,,0+,2,4045.6,,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,14,4127.5,0.5,(0+ 1 2),3,2485.9,0.3,2+,0,1641.6,,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,14,4127.5,0.5,(0+ 1 2),1,1208.22,0.13,2+,1,2919.2,0.4,100,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,15,4287.1,0.5,(1 2 3),1,1208.22,0.13,2+,0,3078.8,0.4,,,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,17,4417.3,0.3,,12,4013.6,0.8,,0,403.9,0.6,8.4,1.9,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,17,4417.3,0.3,,5,3013.7,0.3,(1 2+),1,1404.7,0.4,15,3,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,17,4417.3,0.3,,3,2485.9,0.3,2+,2,1931.7,0.6,41,4,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,17,4417.3,0.3,,2,2413.8,0.6,(4+),3,2003.4,0.3,21,4,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,17,4417.3,0.3,,1,1208.22,0.13,2+,4,3208.3,0.3,100,4,,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17
18,24,Ar,18,4633.9,0.6,(3-),1,1208.22,0.13,2+,0,3425.5,0.5,100,,D,,,,,,,,,,,,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2025-10-17

