z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
22,22,Ti,1,1083.1,0.09,2+,0,0,,0+,0,1083.08,0.1,100,,E2,,,,,16,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,2,1904.4,0.8,0+,1,1083.1,0.09,2+,0,821.3,0.8,100,,[E2],,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,3,2454.32,0.13,4+,1,1083.1,0.09,2+,0,1371.2,0.1,100,,E2,,,,,29.2,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,4,2530.9,0.13,2+,2,1904.4,0.8,0+,0,626,,5,1,E2,,,,,22,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,4,2530.9,0.13,2+,1,1083.1,0.09,2+,1,1447.77,0.12,100,10,E2+M1,-7.5,,,,6.5,,0.00009,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,4,2530.9,0.13,2+,0,0,,0+,2,2530.86,0.25,39,7,E2,,,,,0.157,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,5,2886.2,0.6,2+,2,1904.4,0.8,0+,0,982,,5,3,[E2],,,,,6.5,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,5,2886.2,0.6,2+,1,1083.1,0.09,2+,1,1803,,43,14,[M1 E2],,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,5,2886.2,0.6,2+,0,0,,0+,2,2886.1,0.6,100,14,E2,,,,,0.59,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,6,3176.12,0.29,3-,4,2530.9,0.13,2+,0,645,,1,,[E1],,,0.0000014,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,6,3176.12,0.29,3-,3,2454.32,0.13,4+,1,721.3,,2,1,[E1],,,0.0000018,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,6,3176.12,0.29,3-,1,1083.1,0.09,2+,2,2093,0.8,100,2,E1(+M2),-0.01,0.04,0.0000036,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
22,22,Ti,6,3176.12,0.29,3-,0,0,,0+,3,3175.9,,1,0.5,[E3],,,,,,,,,,,,,20-Jun-2023,Jun Chen and Balraj Singh,2025-10-17
