z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
23,23,V,1,801.46,0.1,3+,0,0,,0+,0,801.5,0.1,100,,[M3],,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,2,914.93,0.1,2+,1,801.46,0.1,3+,0,114,,0.2,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,2,914.93,0.1,2+,0,0,,0+,1,914.9,0.1,100,15,E2,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,3,993.6,0.3,1+,0,0,,0+,0,993.4,0.4,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,4,1179.6,0.4,4+,1,801.46,0.1,3+,0,377.6,0.4,100,,M1+E2,6,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,5,1224.88,0.14,5+,1,801.46,0.1,3+,0,423.5,0.1,100,,[E2],,,,,10,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,6,1236.5,0.6,(0-),3,993.6,0.3,1+,0,242.5,0.7,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,7,1254,,(3-),2,914.93,0.1,2+,0,339,0.7,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,7,1254,,(3-),1,801.46,0.1,3+,1,452.5,0.7,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,8,1262.6,,,2,914.93,0.1,2+,0,348.4,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,8,1262.6,,,1,801.46,0.1,3+,1,461.2,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,9,1366.5,0.3,2,6,1236.5,0.6,(0-),0,129.5,0.7,1,0.2,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,9,1366.5,0.3,2,3,993.6,0.3,1+,1,372.7,0.4,100,15,(E2),,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,9,1366.5,0.3,2,2,914.93,0.1,2+,2,451.9,0.4,32,5,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,9,1366.5,0.3,2,0,0,,0+,3,1366,0.6,38,6,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,10,1376.1,0.4,3+,3,993.6,0.3,1+,0,383,,1.6,0.4,E2,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,10,1376.1,0.4,3+,2,914.93,0.1,2+,1,460.7,0.6,100,15,M1+E2,0.02,0.03,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,11,1431.8,0.5,(1 2),0,0,,0+,0,1431.8,0.5,100,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,12,1539.8,0.3,6+,5,1224.88,0.14,5+,0,315.4,0.3,100,16,M1+E2,1.9,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,12,1539.8,0.3,6+,4,1179.6,0.4,4+,1,359,0.6,72,12,E2,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,13,1604.21,0.24,7+,5,1224.88,0.14,5+,0,379.3,0.2,,,[E2],,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,14,1665.9,0.4,3,2,914.93,0.1,2+,0,750.7,0.4,100,,M1+E2,-0.01,0.04,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,15,1725.6,0.4,5+,12,1539.8,0.3,6+,0,186,,3,1,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,15,1725.6,0.4,5+,10,1376.1,0.4,3+,1,349,0.6,100,15,E2,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,15,1725.6,0.4,5+,5,1224.88,0.14,5+,2,500.5,0.7,20,3,M1+E2,0.9,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,15,1725.6,0.4,5+,4,1179.6,0.4,4+,3,546,,8,2,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,16,1795.8,1.2,,7,1254,,(3-),0,540.5,0.7,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,17,1833.9,0.9,,2,914.93,0.1,2+,0,919,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,18,1956,0.4,4-,15,1725.6,0.4,5+,0,230,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,18,1956,0.4,4-,10,1376.1,0.4,3+,1,579.7,0.6,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,18,1956,0.4,4-,9,1366.5,0.3,2,2,589.3,0.6,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,18,1956,0.4,4-,5,1224.88,0.14,5+,3,732,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,19,2054.8,0.4,4+,15,1725.6,0.4,5+,0,329,,9,3,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,19,2054.8,0.4,4+,10,1376.1,0.4,3+,1,679,0.4,100,17,M1+E2,0.08,0.04,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,19,2054.8,0.4,4+,5,1224.88,0.14,5+,2,830,,10,4,M1+E2,0.02,0.06,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,19,2054.8,0.4,4+,2,914.93,0.1,2+,3,1139,,14,3,E2,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,20,2062.5,1,,1,801.46,0.1,3+,0,1261,1,100,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,22,2370.9,0.6,(3 4),16,1795.8,1.2,,0,575,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,22,2370.9,0.6,(3 4),9,1366.5,0.3,2,1,1004,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,22,2370.9,0.6,(3 4),5,1224.88,0.14,5+,2,1146.4,0.9,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,22,2370.9,0.6,(3 4),4,1179.6,0.4,4+,3,1191,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,23,2388,0.5,5-,19,2054.8,0.4,4+,0,333.3,0.6,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,23,2388,0.5,5-,14,1665.9,0.4,3,1,721.6,0.6,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
23,23,V,23,2388,0.5,5-,12,1539.8,0.3,6+,2,849,,,,,,,,,,,,,,,,,15-Jul-2000,S. -C. WU,2025-10-17
