z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
24,23,Cr,1,99.1,,(5/2-),0,0,,3/2-,0,98.7,,100,,(M1),,,,,,,0.01,,,,0.0269,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,2,174.2,,(7/2-),1,99.1,,(5/2-),0,74.7,,100,10,(M1),,,,,,,0.023,,,,0.0566,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,2,174.2,,(7/2-),0,0,,3/2-,1,173.4,,1.4,,(E2),,,,,2.2,,,,,,0.0494,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,3,471.7,,(3/2+),1,99.1,,(5/2-),0,372.2,,17,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,3,471.7,,(3/2+),0,0,,3/2-,1,472,,100,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,4,870.1,,(5/2+),3,471.7,,(3/2+),0,399,,30,,D,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,4,870.1,,(5/2+),1,99.1,,(5/2-),1,770,,10,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,4,870.1,,(5/2+),0,0,,3/2-,2,871,,100,,D,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,5,1332.1,,(11/2-),2,174.2,,(7/2-),0,1157.7,,100,,D Q,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,6,1345.5,,(7/2+),4,870.1,,(5/2+),0,474,,100,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,6,1345.5,,(7/2+),3,471.7,,(3/2+),1,873,,75,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,6,1345.5,,(7/2+),1,99.1,,(5/2-),2,1248,,25,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,10,1956.3,,(9/2+),6,1345.5,,(7/2+),0,610,,8,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,10,1956.3,,(9/2+),4,870.1,,(5/2+),1,1088,,100,,D Q,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
24,23,Cr,10,1956.3,,(9/2+),2,174.2,,(7/2-),2,1781,,42,,,,,,,,,,,,,,,20-Feb-2007,T. W. BURROWS,2025-10-17
