z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
20,31,Ca,2,1718,1,(1/2-),0,0,,3/2(-),0,1718,1,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,4,2378.06,0.2,(5/2-),0,0,,3/2(-),0,2378,0.2,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,5,2934.1,1,(3/2-),0,0,,3/2(-),0,2934,1,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,6,3462.13,0.2,(7/2-),0,0,,3/2(-),0,3462,0.2,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,7,3477.5,2.3,(5/2-),0,0,,3/2(-),0,3479,4,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,8,3500.9,0.9,,4,2378.06,0.2,(5/2-),0,1123,1,11,2,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,8,3500.9,0.9,,0,0,,3/2(-),1,3500,2,100,11,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,10,3844.1,0.3,(7/2+),4,2378.06,0.2,(5/2-),0,1466,0.2,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,12,4155.1,0.7,(9/2+),10,3844.1,0.3,(7/2+),0,311,0.6,,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,12,4155.1,0.7,(9/2+),6,3462.13,0.2,(7/2-),1,693,0.6,,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,13,4320.1,0.4,(9/2-),10,3844.1,0.3,(7/2+),0,476,0.4,,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,13,4320.1,0.4,(9/2-),7,3477.5,2.3,(5/2-),1,843.4,2.7,1.5,0.5,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,13,4320.1,0.4,(9/2-),4,2378.06,0.2,(5/2-),2,1942,0.4,100,50,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17
20,31,Ca,14,4493.1,1.5,,5,2934.1,1,(3/2-),0,1559,1,100,,,,,,,,,,,,,,,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-10-17

