z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
26,26,Fe,1,849.45,0.1,2+,0,0,,0+,0,849.43,0.1,100,,[E2],,,,,14.2,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,2,2384.55,0.17,4+,1,849.45,0.1,2+,0,1535.27,0.15,100,,E2,,,,,26,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,3,2758.8,0.7,2+,1,849.45,0.1,2+,0,1910,2,32,11,[E2],,,,,3.3,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,3,2758.8,0.7,2+,0,0,,0+,1,2760,1,100,11,[E2],,,,,1.7,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,4,3585,0.3,4+,1,849.45,0.1,2+,0,2735,0.3,100,11,[E2],,,,,1.1,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,5,4145.6,2,0+,1,849.45,0.1,2+,0,3296,2,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,6,4325.5,0.3,6+,2,2384.55,0.17,4+,0,1941,0.3,100,,(E2),,,,,10,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,7,4396.3,0.3,3-,1,849.45,0.1,2+,0,3546.3,0.3,100,,(E1),,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,9,4850.6,1.1,(5- 6+),2,2384.55,0.17,4+,0,2466,1,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,10,4872.2,0.3,6+,4,3585,0.3,4+,0,1286.7,0.3,23,5,[E2],,,,,12,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,10,4872.2,0.3,6+,2,2384.55,0.17,4+,1,2488,0.3,100,7,E2,,,,,2,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,12,5136.9,0.4,5-,7,4396.3,0.3,3-,0,740.6,0.3,55,6,(E2),,,,,,,,,,,0.00043,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,12,5136.9,0.4,5-,4,3585,0.3,4+,1,1553,1,10,5,[E1],,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,12,5136.9,0.4,5-,2,2384.55,0.17,4+,2,2753,0.3,100,20,[E1],,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,13,5139.6,1.3,5-,3,2758.8,0.7,2+,0,2380,1,40,20,[E3],,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,13,5139.6,1.3,5-,,,,,1,4286,4,100,40,[E3],,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,20,5654.5,0.4,6+,6,4325.5,0.3,6+,0,1328.95,0.25,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,29,6360.7,0.4,8+,6,4325.5,0.3,6+,0,2035.3,0.3,100,,E2,,,,,9,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,33,6493.1,0.4,8+,10,4872.2,0.3,6+,0,1620.8,0.3,68,14,[E2],,,,,10,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,33,6493.1,0.4,8+,6,4325.5,0.3,6+,1,2167.6,0.3,100,10,E2,,,,,3.4,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,42,6958,0.4,12+,33,6493.1,0.4,8+,0,465,0.3,75,25,E4,,,,,,,,,,,0.0167,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,42,6958,0.4,12+,29,6360.7,0.4,8+,1,597.1,0.3,100,33,E4,,,,,,,,,,,0.0057,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,48,7381.9,0.4,(10+),33,6493.1,0.4,8+,0,888.5,0.3,88,6,(E2),,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
26,26,Fe,48,7381.9,0.4,(10+),29,6360.7,0.4,8+,1,1021.4,0.3,100,19,[E2],,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17

