z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
21,31,Sc,2,212,,(5+),1,0,,(4+),0,212,0.2,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,3,675.21,0.23,,0,0,,3(+),0,675.2,0.3,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,4,1636.43,0.18,1+,3,675.21,0.23,,0,961.2,0.3,100,3,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,4,1636.43,0.18,1+,0,0,,3(+),1,1636.4,0.2,71,2,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,5,1655,,(4+),2,212,,(5+),0,1443,8,,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,5,1655,,(4+),1,0,,(4+),1,1654,13,,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,6,2332,,(6+),2,212,,(5+),0,2120,0.2,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,7,2745.7,0.7,1+,3,675.21,0.23,,0,2070.4,0.6,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,8,3458.1,1,,0,0,,3(+),0,3458,1,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,9,3603.1,,(7- 8+),6,2332,,(6+),0,1271,0.2,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,10,3954.1,,(7-),6,2332,,(6+),0,1622,0.6,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,11,4265.7,1.5,1+,0,0,,3(+),0,4265.5,1.5,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,12,4345.1,0.6,(8-),10,3954.1,,(7-),0,391,0.6,,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,12,4345.1,0.6,(8-),9,3603.1,,(7- 8+),1,742,0.6,,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17
21,31,Sc,13,5696.1,0.9,,12,4345.1,0.6,(8-),0,1351,0.6,100,,,,,,,,,,,,,,,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-10-17

