z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
25,30,Mn,1,125.949,0.01,7/2-,0,0,,5/2-,0,125.95,0.01,100,,M1(+E2),0.052,0.004,,,14.7,,0.0417,,,,0.0174,0.00008,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,2,984.26,0.06,9/2-,1,125.949,0.01,7/2-,0,858.2,0.1,100,2,M1+E2,0.27,0.01,,,23,,0.11,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,2,984.26,0.06,9/2-,0,0,,5/2-,1,984.2,0.1,5,0.3,E2,,,,,8.8,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,3,1289.1,1.5,(11/2+),2,984.26,0.06,9/2-,0,304,2,100,,,,,,,13.4,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,3,1289.1,1.5,(11/2+),1,125.949,0.01,7/2-,1,1164,2,11,,,,,,,1.9,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,4,1292.11,0.07,(11/2)-,2,984.26,0.06,9/2-,0,308.1,0.1,33,3,M1(+E2),0.03,0.02,,,3,,0.171,,,,0.00184,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,4,1292.11,0.07,(11/2)-,1,125.949,0.01,7/2-,1,1166.3,0.1,100,3,E2,,,,,14.4,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,5,1293,2,(1/2-),0,0,,5/2-,0,1293,2,100,,,,,,,11.6,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,6,1528.35,0.06,3/2-,1,125.949,0.01,7/2-,0,1402.4,0.1,3.5,0.4,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,6,1528.35,0.06,3/2-,0,0,,5/2-,1,1528.3,0.1,100,1,M1+E2,0.2,0.06,,,3.3,,0.092,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,7,1884.09,0.08,(7/2)-,1,125.949,0.01,7/2-,0,1758.1,0.2,56,14,M1(+E2),-0.05,,,,1,,0.12,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,7,1884.09,0.08,(7/2)-,0,0,,5/2-,1,1884,0.1,100,5,M1+E2,0.16,0.01,,,2.6,,0.17,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,8,2015.2,1.5,7/2-,2,984.26,0.06,9/2-,0,1030,2,100,,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,8,2015.2,1.5,7/2-,0,0,,5/2-,1,2016,2,76,,M1+E2,0.12,0.03,,,3,,0.416,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,9,2198.43,0.09,7/2-,2,984.26,0.06,9/2-,0,1213.9,0.1,54,3,M1+E2,0.18,0.13,,,10,,0.22,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,9,2198.43,0.09,7/2-,1,125.949,0.01,7/2-,1,2072,0.4,10,3,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,9,2198.43,0.09,7/2-,0,0,,5/2-,2,2198.5,0.2,100,7,M1+E2,0.27,0.01,,,2,,0.065,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,10,2215,1,5/2- 7/2-,0,0,,5/2-,0,2215,1,100,,M1+(E2),,,,,1.12,,0.0027,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,11,2252.46,0.09,3/2-,0,0,,5/2-,0,2252.4,0.1,100,6,M1(+E2),0,0.01,,,,,0.084,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,12,2266.81,0.16,(5/2)-,6,1528.35,0.06,3/2-,0,739.2,0.3,37,15,M1(+E2),0.16,0.19,,,10,,0.11,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,12,2266.81,0.16,(5/2)-,0,0,,5/2-,1,2268,0.5,100,3,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,14,2311.45,0.14,13/2-,4,1292.11,0.07,(11/2)-,0,1019.42,0.18,100,4,M1+E2,0.11,0.01,,,3,,0.0012,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,14,2311.45,0.14,13/2-,2,984.26,0.06,9/2-,1,1326.86,0.25,11,4,,,,,,0.007,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,15,2365.83,0.09,5/2-,1,125.949,0.01,7/2-,0,2239.8,0.1,100,3,M1+E2,,,,,13,,0.032,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,15,2365.83,0.09,5/2-,0,0,,5/2-,1,2365.3,0.2,35,10,(E2),,,,,7,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,17,2398.4,0.12,LE 9/2-,2,984.26,0.06,9/2-,0,1414.1,0.1,35,11,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,17,2398.4,0.12,LE 9/2-,1,125.949,0.01,7/2-,1,2273.1,0.5,100,5,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,18,2426.52,0.11,1/2+,6,1528.35,0.06,3/2-,0,898.2,0.1,100,,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,19,2563.16,0.09,3/2-,0,0,,5/2-,0,2563,0.1,100,,M1+E2,0.09,0.01,,,0.43,,0.17,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,21,2621.7,1,(1/2+),0,0,,5/2-,0,2621.6,,100,,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,22,2694.6,1,,0,0,,5/2-,0,2694.5,,100,,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,23,2727.31,0.08,7/2-,4,1292.11,0.07,(11/2)-,0,1435.5,0.1,37,4,(E2),,,,,1.4,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,23,2727.31,0.08,7/2-,2,984.26,0.06,9/2-,1,1743,0.1,56,8,M1(+E2),-0.9,,,,,,0.0007,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,23,2727.31,0.08,7/2-,0,0,,5/2-,2,2727.2,0.2,100,6,(M1+E2),0.06,0.06,,,,,0.00057,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,25,2752.7,0.1,5/2- 9/2-,7,1884.09,0.08,(7/2)-,0,868.6,0.1,77,14,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,25,2752.7,0.1,5/2- 9/2-,1,125.949,0.01,7/2-,1,2626.7,0.2,100,9,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,25,2752.7,0.1,5/2- 9/2-,0,0,,5/2-,2,2752.8,0.5,56,9,,,,,,,,,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
25,30,Mn,26,2822.1,0.7,(9/2)-,7,1884.09,0.08,(7/2)-,0,937.5,1,56,8,M1(+E2),-0.13,0.3,,,,,0.1,,,,,,30-Apr-2007,HUO JUNDE,2025-10-17
