z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
27,34,Co,1,1027.48,0.08,3/2-,0,0,,7/2-,0,1027.42,0.11,100,,[E2],,,,,0.00035,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,2,1205.09,0.09,(3/2)-,1,1027.48,0.08,3/2-,0,177.61,0.12,4.6,0.4,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,2,1205.09,0.09,(3/2)-,0,0,,7/2-,1,1205.07,0.12,100,,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,4,1285.54,0.23,(9/2)-,0,0,,7/2-,0,1285.5,0.4,100,,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,5,1325.4,0.1,(1/2-),2,1205.09,0.09,(3/2)-,0,120.34,0.12,23.9,1.8,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,5,1325.4,0.1,(1/2-),1,1027.48,0.08,3/2-,1,297.9,0.07,100,8,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,6,1618.85,0.17,5/2- 7/2-,4,1285.54,0.23,(9/2)-,0,333,0.4,61,10,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,6,1618.85,0.17,5/2- 7/2-,0,0,,7/2-,1,1618.9,0.2,100,12,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,8,1645.87,0.12,(3/2- 5/2),2,1205.09,0.09,(3/2)-,0,440.5,0.4,3.1,0.7,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,8,1645.87,0.12,(3/2- 5/2),1,1027.48,0.08,3/2-,1,618.4,0.16,13.4,1.1,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
27,34,Co,8,1645.87,0.12,(3/2- 5/2),0,0,,7/2-,2,1645.95,0.16,100,5,,,,,,,,,,,,,,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-10-17
