z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
31,34,Ga,1,61.94,0.12,(1/2)-,0,0,,3/2-,0,62,0.2,100,,[M1],,,,,,,0.06,,,,0.266,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,2,190.81,0.14,5/2-,0,0,,3/2-,0,190.8,0.2,100,,M1+E2,-0.7,0.3,,,29,,0.0022,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,3,649.67,0.14,1/2- 3/2-,2,190.81,0.14,5/2-,0,459.1,0.5,6,0.8,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,3,649.67,0.14,1/2- 3/2-,1,61.94,0.12,(1/2)-,1,587.7,0.2,8,1.2,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,3,649.67,0.14,1/2- 3/2-,0,0,,3/2-,2,649.7,0.2,100,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,4,809.18,0.13,1/2- 3/2-,2,190.81,0.14,5/2-,0,618.7,0.4,7.1,1.1,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,4,809.18,0.13,1/2- 3/2-,1,61.94,0.12,(1/2)-,1,747.4,0.2,6,3,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,4,809.18,0.13,1/2- 3/2-,0,0,,3/2-,2,809.1,0.2,100,6,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,5,814.89,0.2,3/2-,3,649.67,0.14,1/2- 3/2-,0,166,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,5,814.89,0.2,3/2-,2,190.81,0.14,5/2-,1,626,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,5,814.89,0.2,3/2-,1,61.94,0.12,(1/2)-,2,752,2,100,29,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,5,814.89,0.2,3/2-,0,0,,3/2-,3,814.9,0.2,43,29,(M1+E2),,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,6,1075.84,0.17,7/2-,2,190.81,0.14,5/2-,0,884.9,0.3,40,16,D+Q,-0.23,0.04,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,6,1075.84,0.17,7/2-,0,0,,3/2-,1,1075.9,0.3,100,12,E2,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,9,1287.41,0.18,(9/2)-,6,1075.84,0.17,7/2-,0,212,,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,9,1287.41,0.18,(9/2)-,2,190.81,0.14,5/2-,1,1096.3,0.4,100,,E2(+M3),-0.07,0.07,,,16,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,10,1298.59,0.24,,2,190.81,0.14,5/2-,0,1107.8,0.3,36,7,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,10,1298.59,0.24,,1,61.94,0.12,(1/2)-,1,1236.6,0.3,100,7,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,10,1298.59,0.24,,0,0,,3/2-,2,1299,3,7,4,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,11,1326.2,0.8,,2,190.81,0.14,5/2-,0,1135.4,0.7,100,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,12,1353.37,0.16,,4,809.18,0.13,1/2- 3/2-,0,544.4,0.2,56,11,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
31,34,Ga,12,1353.37,0.16,,0,0,,3/2-,1,1352.9,0.4,100,11,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
