z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
30,35,Zn,1,53.928,0.01,(1/2)-,0,0,,5/2-,0,53.93,0.01,100,,E2,,,,,6.4,,,,,,6.86,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,2,115.127,0.014,3/2-,1,53.928,0.01,(1/2)-,0,61.2,0.01,21.1,2,M1(+E2),0.4,,,,2700,,0.019,,,,0.5,0.3,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,2,115.127,0.014,3/2-,0,0,,5/2-,1,115.09,0.04,100,15,M1+E2,-0.29,0.03,,,230,,0.022,,,,0.07,0.006,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,3,206.94,0.08,3/2-,2,115.127,0.014,3/2-,0,92,1,4.5,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,3,206.94,0.08,3/2-,1,53.928,0.01,(1/2)-,1,153,0.2,100,10,M1+E2,0.19,0.05,,,80,,0.029,,,,0.024,0.002,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,3,206.94,0.08,3/2-,0,0,,5/2-,2,206.9,0.2,29,3,M1+E2,0.87,0.2,,,60,,0.002,,,,0.024,0.005,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,4,768.7,0.08,5/2-,3,206.94,0.08,3/2-,0,561.66,0.21,0.67,0.17,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,4,768.7,0.08,5/2-,2,115.127,0.014,3/2-,1,653.5,0.1,59,6,M1+E2,-0.14,0.12,,,2,,0.02,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,4,768.7,0.08,5/2-,1,53.928,0.01,(1/2)-,2,714.69,0.21,12.8,1.3,[E2],,,,,11,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,4,768.7,0.08,5/2-,0,0,,5/2-,3,768.7,0.2,100,9,M1+E2,0.51,,,,13,,0.017,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,5,864.21,0.07,7/2-,3,206.94,0.08,3/2-,0,657.33,0.19,0.71,0.12,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,5,864.21,0.07,7/2-,2,115.127,0.014,3/2-,1,749.1,0.2,18.2,1.4,(E2+M3),0.04,0.03,,,8,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,5,864.21,0.07,7/2-,0,0,,5/2-,2,864.2,0.1,100,1,M1+E2,-2.27,0.03,,,20,,0.002,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,6,866.92,0.12,1/2-,3,206.94,0.08,3/2-,0,659.9,0.3,1.56,0.16,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,6,866.92,0.12,1/2-,2,115.127,0.014,3/2-,1,751.8,0.2,100,6,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,6,866.92,0.12,1/2-,1,53.928,0.01,(1/2)-,2,813,0.2,1.4,0.13,[M1],,,,,,,0.001,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,6,866.92,0.12,1/2-,0,0,,5/2-,3,866.8,0.4,1.6,0.2,[E2],,,,,2.1,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,7,909.65,0.09,3/2-,4,768.7,0.08,5/2-,0,140.2,0.4,3.8,0.7,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,7,909.65,0.09,3/2-,3,206.94,0.08,3/2-,1,702.7,0.2,15.7,1.6,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,7,909.65,0.09,3/2-,2,115.127,0.014,3/2-,2,794.6,0.2,52,5,M1+E2,0.4,0.12,,,2.9,,0.007,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,7,909.65,0.09,3/2-,1,53.928,0.01,(1/2)-,3,855.8,0.2,34,3,(M1+E2),-0.96,0.2,,,4.5,,0.0022,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,7,909.65,0.09,3/2-,0,0,,5/2-,4,909.7,0.2,100,10,M1+E2,0.25,0.04,,,1.2,,0.01,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,8,1047.39,0.12,5/2-,4,768.7,0.08,5/2-,0,278.2,0.5,0.79,0.17,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,8,1047.39,0.12,5/2-,3,206.94,0.08,3/2-,1,840.3,1,3.2,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,8,1047.39,0.12,5/2-,2,115.127,0.014,3/2-,2,932.2,0.2,100,5,M1+E2,-0.42,0.05,,,13,,0.039,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,8,1047.39,0.12,5/2-,1,53.928,0.01,(1/2)-,3,993.7,0.4,3,0.6,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,8,1047.39,0.12,5/2-,0,0,,5/2-,4,1047.4,0.2,53,5,(M1+E2),,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,9,1062.1,0.7,,5,864.21,0.07,7/2-,0,197.9,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,9,1062.1,0.7,,3,206.94,0.08,3/2-,1,855.2,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,10,1065.51,0.1,9/2+,5,864.21,0.07,7/2-,0,201.3,0.1,100,1,E1(+M2),0,0.01,0.000081,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,10,1065.51,0.1,9/2+,0,0,,5/2-,1,1065.49,0.14,9.9,1,M2+E3,-0.13,0.02,,,,,,,0.215,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,11,1252.66,0.12,7/2-,4,768.7,0.08,5/2-,0,483.9,0.2,28,3,M1+E2,0.07,0.1,,,1,,0.027,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,11,1252.66,0.12,7/2-,3,206.94,0.08,3/2-,1,1045.7,0.2,100,4,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,11,1252.66,0.12,7/2-,2,115.127,0.014,3/2-,2,1137.5,0.2,38,3,E2,,,,,3.6,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,11,1252.66,0.12,7/2-,0,0,,5/2-,3,1252.8,0.3,17.9,2.2,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,12,1263.42,0.16,9/2-,5,864.21,0.07,7/2-,0,399.22,0.22,4.5,0.6,M1+E2,-0.023,0.01,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,12,1263.42,0.16,9/2-,0,0,,5/2-,1,1263.4,0.2,100,1,E2(+M3),0.03,0.03,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,13,1343.85,0.11,5/2-,5,864.21,0.07,7/2-,0,479.7,0.3,3.8,0.6,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,13,1343.85,0.11,5/2-,4,768.7,0.08,5/2-,1,574.9,0.4,4,4,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,13,1343.85,0.11,5/2-,3,206.94,0.08,3/2-,2,1137,0.2,20.4,1.7,(M1+E2),,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,13,1343.85,0.11,5/2-,2,115.127,0.014,3/2-,3,1228.7,0.2,100,7,M1+E2,-0.33,0.03,,,0.48,,0.00399,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,13,1343.85,0.11,5/2-,1,53.928,0.01,(1/2)-,4,1289.8,0.4,1.7,0.5,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,13,1343.85,0.11,5/2-,0,0,,5/2-,5,1343.8,0.2,28,3,(M1+E2),,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,14,1369.08,0.18,5/2+,2,115.127,0.014,3/2-,0,1253.9,0.2,100,5,E1+M2,-0.14,0.02,0.0000935,,,,,,5.3,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,14,1369.08,0.18,5/2+,0,0,,5/2-,1,1369.2,0.4,59,5,(E1+M2),-0.11,0.08,0.0000427,,,,,,1.3,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,8,1047.39,0.12,5/2-,0,422.2,0.3,7.1,1.7,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,7,909.65,0.09,3/2-,1,560.1,0.2,10.3,1.4,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,6,866.92,0.12,1/2-,2,602.7,0.3,8.4,0.2,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,4,768.7,0.08,5/2-,3,700.8,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,3,206.94,0.08,3/2-,4,1262.2,0.7,9.7,1,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,2,115.127,0.014,3/2-,5,1354.5,0.2,100,11,M1+E2,0.21,0.03,,,1.2,,0.031,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,1,53.928,0.01,(1/2)-,6,1415.9,0.2,29,3,(M1+E2),0.24,0.05,,,0.37,,0.0077,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,15,1469.73,0.1,3/2-,0,0,,5/2-,7,1469.8,0.2,8.4,0.9,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,16,1577.05,0.25,3/2-,4,768.7,0.08,5/2-,0,807.6,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,16,1577.05,0.25,3/2-,3,206.94,0.08,3/2-,1,1370,0.5,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,16,1577.05,0.25,3/2-,2,115.127,0.014,3/2-,2,1461.9,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,16,1577.05,0.25,3/2-,1,53.928,0.01,(1/2)-,3,1523.3,0.4,64,3,(M1+E2),-2.5,0.3,,,8.8,,0.002,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,16,1577.05,0.25,3/2-,0,0,,5/2-,4,1576.9,0.4,100,3,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,17,1588.08,0.25,7/2-,4,768.7,0.08,5/2-,0,818.9,0.5,14.7,1.5,M1+E2,-0.23,0.03,,,3.3,,0.025,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,17,1588.08,0.25,7/2-,2,115.127,0.014,3/2-,1,1473.1,0.4,33,3,[E2],,,,,8,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,17,1588.08,0.25,7/2-,0,0,,5/2-,2,1588.2,0.4,100,3,M1+E2,0.31,0.02,,,1.4,,0.023,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,19,1779.6,0.7,,1,53.928,0.01,(1/2)-,0,1725.6,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,19,1779.6,0.7,,0,0,,5/2-,1,1779.6,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,20,1793.5,0.7,,1,53.928,0.01,(1/2)-,0,1739.5,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,20,1793.5,0.7,,0,0,,5/2-,1,1793.5,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,21,1907.5,0.4,(9/2),4,768.7,0.08,5/2-,0,1138.8,0.4,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,21,1907.5,0.4,(9/2),0,0,,5/2-,1,1906.7,0.8,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,23,1941.1,0.6,(1/2 3/2 5/2+),2,115.127,0.014,3/2-,0,1826.1,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,23,1941.1,0.6,(1/2 3/2 5/2+),1,53.928,0.01,(1/2)-,1,1887.1,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,23,1941.1,0.6,(1/2 3/2 5/2+),0,0,,5/2-,2,1941.1,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,25,1957.3,0.8,7/2+,14,1369.08,0.18,5/2+,0,588,1,26.6,1.3,M1+E2,0.11,0.01,,,3.1,,0.054,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,25,1957.3,0.8,7/2+,10,1065.51,0.1,9/2+,1,892,1,100,1,M1+E2,-0.27,0.01,,,8.2,,0.054,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,28,2053.8,0.3,13/2+,10,1065.51,0.1,9/2+,0,988.2,0.3,100,,E2(+M3),0.01,0.02,,,28,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,29,2081.54,0.2,(1/2 3/2 5/2+),3,206.94,0.08,3/2-,0,1874.6,0.2,100,12,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,29,2081.54,0.2,(1/2 3/2 5/2+),2,115.127,0.014,3/2-,1,1966.4,0.4,87,11,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,30,2135.2,0.8,9/2+,14,1369.08,0.18,5/2+,0,766,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,30,2135.2,0.8,9/2+,10,1065.51,0.1,9/2+,1,1069,1,,,,,,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
30,35,Zn,30,2135.2,0.8,9/2+,5,864.21,0.07,7/2-,2,1271,1,,,E1+M2,-0.06,0.01,,,,,,,,,,,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-10-17
