z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
34,34,Se,1,853.75,0.21,2+,0,0,,0+,0,853.71,0.22,100,,E2,,,,,27,,,,,,0.000618,0.000009,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,2,1196.7,1,(2+),1,853.75,0.21,2+,0,343,,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,3,1593.9,0.5,2+,1,853.75,0.21,2+,0,740,1,,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,3,1593.9,0.5,2+,0,0,,0+,1,1594,1,,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,4,1942.1,0.3,4+,1,853.75,0.21,2+,0,1088.3,0.2,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,5,2433.3,0.8,,0,0,,0+,0,2433,,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,6,2545.1,0.4,4+,4,1942.1,0.3,4+,0,602,,,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,6,2545.1,0.4,4+,3,1593.9,0.5,2+,1,951.1,0.5,23,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,6,2545.1,0.4,4+,1,853.75,0.21,2+,2,1691.7,0.5,100,23,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,7,2766,0.9,(6+),4,1942.1,0.3,4+,0,823.9,0.8,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,8,3073.5,0.8,,5,2433.3,0.8,,0,640,,,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,8,3073.5,0.8,,1,853.75,0.21,2+,1,2220,,,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,9,3303.7,0.4,6+,4,1942.1,0.3,4+,0,1361.5,0.3,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,10,3571.2,0.8,(5-),4,1942.1,0.3,4+,0,1629.1,0.7,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,11,3705.7,0.4,6+,6,2545.1,0.4,4+,0,1160.7,0.3,100,22,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,11,3705.7,0.4,6+,4,1942.1,0.3,4+,1,1764,1,74,22,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,12,4198.5,1,(7-),10,3571.2,0.8,(5-),0,627.3,0.6,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,13,4752.3,0.4,8+,11,3705.7,0.4,6+,0,1046.7,0.3,75,31,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,13,4752.3,0.4,8+,9,3303.7,0.4,6+,1,1448.5,0.3,100,17,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,14,4870.7,1.1,8+,9,3303.7,0.4,6+,0,1567,,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,15,5959.7,0.5,10+,13,4752.3,0.4,8+,0,1207.4,0.3,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,16,6603.8,1.5,10+,14,4870.7,1.1,8+,0,1733,,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,17,7331.8,0.6,12+,15,5959.7,0.5,10+,0,1372,0.3,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,18,8823.7,0.7,14+,17,7331.8,0.6,12+,0,1491.9,0.3,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,19,9871.4,0.8,16+,18,8823.7,0.7,14+,0,1047.7,0.5,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,20,11040,0.9,18+,19,9871.4,0.8,16+,0,1168.6,0.3,100,,Q,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,21,12797.1,1,(20+),20,11040,0.9,18+,0,1757.1,0.5,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,22,15185.2,2.2,(22+),21,12797.1,1,(20+),0,2388,2,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,23,18075,4,(24+),22,15185.2,2.2,(22+),0,2890,3,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17
34,34,Se,24,21201,5,(26+),23,18075,4,(24+),0,3126,4,100,,,,,,,,,,,,,,,1-Mar-2012,E.A. McCutchan,2025-10-17

