z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
28,42,Ni,1,1259.55,0.05,2+,0,0,,0+,0,1259.52,0.05,100,,E2,,,,,10,,,,,,0.000162,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,2,1567.1,0.8,(0+),1,1259.55,0.05,2+,0,307.5,,100,,[E2],,,,,0.17,,,,,,0.00853,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,3,1867.44,0.14,(2+),1,1259.55,0.05,2+,0,607.6,0.2,100,7,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,3,1867.44,0.14,(2+),0,0,,0+,1,1867.7,0.2,68,6,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,4,2229.44,0.06,4+,1,1259.55,0.05,2+,0,969.88,0.04,100,,E2,,,,,,,,,,,0.00026,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,5,2507.4,1,,3,1867.44,0.14,(2+),0,640,1,100,,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,6,2516.36,0.21,,1,1259.55,0.05,2+,0,1256.8,0.2,100,,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,7,2677.82,0.07,6+,4,2229.44,0.06,4+,0,448.37,0.03,100,,E2,,,,,1.73,,,,,,0.00235,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,8,2860.93,0.07,8+,7,2677.82,0.07,6+,0,183.11,0.02,100,,E2,,,,,0.656,,,,,,0.0573,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,9,2912.05,0.11,(5 6+),7,2677.82,0.07,6+,0,234.1,0.1,38,4,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,9,2912.05,0.11,(5 6+),4,2229.44,0.06,4+,1,683.1,0.2,100,9,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,10,3209.6,2,,1,1259.55,0.05,2+,0,1950,2,100,,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,11,3510.9,0.8,,3,1867.44,0.14,(2+),0,1643.5,,100,30,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,11,3510.9,0.8,,2,1567.1,0.8,(0+),1,1943.7,,33,10,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,12,3592.2,0.3,,7,2677.82,0.07,6+,0,914.4,0.3,100,,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,13,3758.1,0.3,,9,2912.05,0.11,(5 6+),0,846,1,100,50,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,13,3758.1,0.3,,7,2677.82,0.07,6+,1,1080.3,0.3,100,13,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,14,4871.5,0.4,,13,3758.1,0.3,,0,1113.4,0.2,100,,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17
28,42,Ni,15,5354.4,0.4,,14,4871.5,0.4,,0,482.9,0.2,100,,,,,,,,,,,,,,,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-10-17

