z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
29,43,Cu,1,137.32,0.08,(3-),0,0,,(2),0,137.4,0.1,100,,E1,,,0.0000084,,,,,,,,0.021,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,2,219.3,,(4-),1,137.32,0.08,(3-),0,82,,100,,M1,,,,,,,0.41,,,,0.0918,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,3,270.3,,(6-),2,219.3,,(4-),0,51,,100,,E2,,,,,6,,,,,,7.74,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,4,376.49,0.07,(1+),0,0,,(2),0,376.4,0.1,100,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,5,451.54,0.07,(2),4,376.49,0.07,(1+),0,74.8,0.1,18,6,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,5,451.54,0.07,(2),1,137.32,0.08,(3-),1,314.3,0.1,66,12,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,5,451.54,0.07,(2),0,0,,(2),2,451.7,0.1,100,40,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,6,470.56,0.09,(1+),4,376.49,0.07,(1+),0,94,0.1,100,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,7,476.01,0.1,,0,0,,(2),0,476,0.1,100,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,8,673.29,0.09,,6,470.56,0.09,(1+),0,202.6,0.1,100,30,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,8,673.29,0.09,,4,376.49,0.07,(1+),1,297,0.1,100,30,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,9,987.31,0.1,,0,0,,(2),0,987.3,0.1,100,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
29,43,Cu,10,1517.43,0.1,,4,376.49,0.07,(1+),0,1141.3,0.5,100,,,,,,,,,,,,,,,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
