z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
32,42,Ge,1,595.85,0.006,2+,0,0,,0+,0,595.847,0.006,100,,E2,,,,,33,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,2,1204.205,0.007,2+,1,595.85,0.006,2+,0,608.353,0.005,100,1,E2+M1,3.4,0.4,,,43,,0.00099,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,2,1204.205,0.007,2+,0,0,,0+,1,1204.208,0.012,46,3,E2,,,,,0.71,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,3,1463.759,0.008,4+,1,595.85,0.006,2+,0,867.898,0.006,100,,E2,,,,,41,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,4,1482.81,0.04,0+,1,595.85,0.006,2+,0,887.19,0.07,100,,E2,,,,,9,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,4,1482.81,0.04,0+,0,0,,0+,1,1482.6,,,,E0,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,5,1697.14,0.008,(3)+,3,1463.759,0.008,4+,0,233.395,0.012,2.1,0.2,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,5,1697.14,0.008,(3)+,2,1204.205,0.007,2+,1,492.936,0.006,58,1,(M1+E2),1.3,0.4,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,5,1697.14,0.008,(3)+,1,595.85,0.006,2+,2,1101.267,0.012,100,1,(M1+E2),0.34,0.05,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,6,1724.954,0.014,(0+),2,1204.205,0.007,2+,0,520.744,0.012,100,,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,9,2165.259,0.008,(3 4)+,5,1697.14,0.008,(3)+,0,468.11,0.03,6.5,0.3,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,9,2165.259,0.008,(3 4)+,3,1463.759,0.008,4+,1,701.487,0.006,42.7,0.3,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,9,2165.259,0.008,(3 4)+,2,1204.205,0.007,2+,2,961.055,0.01,100,1,(M1(+E2)),0.01,0.01,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,10,2197.933,0.024,2+,4,1482.81,0.04,0+,0,715.17,0.03,35,2,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,10,2197.933,0.024,2+,3,1463.759,0.008,4+,1,734.17,0.04,25,4,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,10,2197.933,0.024,2+,2,1204.205,0.007,2+,2,993.67,0.06,100,5,(E2+M1),-2.8,0.2,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,10,2197.933,0.024,2+,1,595.85,0.006,2+,3,1602,0.2,45,4,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,10,2197.933,0.024,2+,0,0,,0+,4,2197.95,0.08,82,10,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,11,2227.77,0.1,0+,2,1204.205,0.007,2+,0,1021.9,0.1,38,,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,11,2227.77,0.1,0+,1,595.85,0.006,2+,1,1631.89,0.12,100,,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,13,2403.5,0.4,1,0,0,,0+,0,2403.5,0.4,,,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,15,2536.31,0.013,3-,5,1697.14,0.008,(3)+,0,839.152,0.014,2.8,0.3,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,15,2536.31,0.013,3-,2,1204.205,0.007,2+,1,1332.12,0.07,31,2,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,15,2536.31,0.013,3-,1,595.85,0.006,2+,2,1940.53,0.15,100,2,(E1(+M2)),0.02,0.02,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,16,2569.329,0.014,(6+),3,1463.759,0.008,4+,0,1105.562,0.012,100,,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,18,2600.32,0.09,(1 2 3)+,1,595.85,0.006,2+,0,2004.45,0.09,100,9,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,19,2669.62,0.04,4+,5,1697.14,0.008,(3)+,0,972.38,0.05,22,1,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,19,2669.62,0.04,4+,3,1463.759,0.008,4+,1,1205.88,0.09,74,9,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,19,2669.62,0.04,4+,1,595.85,0.006,2+,2,2073.85,0.07,100,10,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
32,42,Ge,20,2690.6,0.3,1,0,0,,0+,0,2690.6,0.3,,,,,,,,,,,,,,,,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2025-10-17
