z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
36,41,Kr,1,66.5,0.05,3/2-,0,0,,5/2+,0,66.52,0.05,100,,(E1),,,0.0000083,,,,,,,,0.3,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,2,149.93,0.09,7/2+,0,0,,5/2+,0,149.93,0.09,100,,M1+E2,-0.16,0.1,,,60,,0.037,,,,0.047,0.007,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,3,245.32,0.06,5/2-,1,66.5,0.05,3/2-,0,178.78,0.08,100,3,(M1(+E2)),-0.09,0.09,,,30,,0.097,,,,0.0278,0.002,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,3,245.32,0.06,5/2-,0,0,,5/2+,1,245.24,0.1,3.7,1.2,[E1],,,0.000024,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,4,278.83,0.12,9/2+,2,149.93,0.09,7/2+,0,128.9,0.1,100,2,(M1(+E2)),0.24,,,,300,,0.064,,,,0.073,0.009,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,4,278.83,0.12,9/2+,0,0,,5/2+,1,278.8,0.3,14,2,E2,,,,,15,,,,,,0.0219,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,5,459.88,0.09,1/2-,3,245.32,0.06,5/2-,0,216,1.5,0.6,0.006,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,5,459.88,0.09,1/2-,1,66.5,0.05,3/2-,1,393.37,0.09,100,4,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,6,499.5,0.11,7/2-,3,245.32,0.06,5/2-,0,254.3,0.3,100,1,(M1(+E2)),0.05,,,,10,,0.17,,,,0.01102,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,6,499.5,0.11,7/2-,1,66.5,0.05,3/2-,1,433.06,0.14,48,3,E2,,,,,118,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,7,577.2,0.6,(3/2- 5/2 7/2-),6,499.5,0.11,7/2-,0,78.1,0.7,14,5,[D E2],,,,,,,,,,,1.3,1.1,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,7,577.2,0.6,(3/2- 5/2 7/2-),1,66.5,0.05,3/2-,1,511,2,100,10,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,8,674.98,0.21,(3/2+ 5/2),2,149.93,0.09,7/2+,0,525,1.5,4.6,0.046,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,8,674.98,0.21,(3/2+ 5/2),1,66.5,0.05,3/2-,1,608.6,0.3,100,12,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,8,674.98,0.21,(3/2+ 5/2),0,0,,5/2+,2,674.9,0.3,11,4,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,9,714.36,0.08,(1/2- 3/2 5/2-),5,459.88,0.09,1/2-,0,254.5,0.3,23,4,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,9,714.36,0.08,(1/2- 3/2 5/2-),3,245.32,0.06,5/2-,1,468.99,0.19,46,3,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,9,714.36,0.08,(1/2- 3/2 5/2-),1,66.5,0.05,3/2-,2,647.88,0.1,100,7,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,10,733.3,0.6,(1/2 3/2 5/2),1,66.5,0.05,3/2-,0,666.8,0.7,100,,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,11,747.17,0.23,(3/2+ 5/2),2,149.93,0.09,7/2+,0,597.25,0.21,100,5,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,11,747.17,0.23,(3/2+ 5/2),0,0,,5/2+,1,746.5,1.5,25,2.5,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,12,784.1,0.3,11/2+,4,278.83,0.12,9/2+,0,506.1,0.4,100,3,M1+E2,-0.35,0.06,,,46,,0.073,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,12,784.1,0.3,11/2+,2,149.93,0.09,7/2+,1,634,1.4,38,3,E2,,,,,52,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,13,790.53,0.12,(1/2- 3/2 5/2),3,245.32,0.06,5/2-,0,545.23,0.15,100,5,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,13,790.53,0.12,(1/2- 3/2 5/2),1,66.5,0.05,3/2-,1,724.5,0.7,45,10,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,14,799.11,0.13,9/2-,6,499.5,0.11,7/2-,0,299.7,0.1,89,4,(M1(+E2)),-0.08,0.03,,,14,,0.147,,,,0.00736,0.00012,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,14,799.11,0.13,9/2-,3,245.32,0.06,5/2-,1,553.5,0.2,100,4,E2,,,,,114,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,15,872.01,0.07,(3/2 5/2),3,245.32,0.06,5/2-,0,626.69,0.12,100,9,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,15,872.01,0.07,(3/2 5/2),1,66.5,0.05,3/2-,1,805.6,0.1,45,11,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,15,872.01,0.07,(3/2 5/2),0,0,,5/2+,2,871.3,0.8,9,4,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,16,955.5,0.7,(3/2+ 5/2),2,149.93,0.09,7/2+,0,805.6,0.7,100,,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,17,957.83,0.1,,3,245.32,0.06,5/2-,0,712.36,0.12,100,,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,18,1002.6,0.3,13/2+,12,784.1,0.3,11/2+,0,218.5,0.1,15,7,(M1(+E2)),-0.03,0.05,,,4,,0.15,,,,0.0162,0.0003,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,18,1002.6,0.3,13/2+,4,278.83,0.12,9/2+,1,723.3,0.3,100,2,E2,,,,,68,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,19,1013,0.6,(1/2+ 3/2 5/2-),5,459.88,0.09,1/2-,0,554,1,38,13,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,19,1013,0.6,(1/2+ 3/2 5/2-),1,66.5,0.05,3/2-,1,946.8,1,44,13,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,19,1013,0.6,(1/2+ 3/2 5/2-),0,0,,5/2+,2,1012.3,0.8,100,19,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,20,1020.77,0.22,,9,714.36,0.08,(1/2- 3/2 5/2-),0,306.43,0.25,100,,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,21,1024.8,0.6,(3/2 5/2),3,245.32,0.06,5/2-,0,779.8,0.8,100,16,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,21,1024.8,0.6,(3/2 5/2),0,0,,5/2+,1,1023.9,1,42,11,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,22,1037.42,0.06,(3/2 5/2),3,245.32,0.06,5/2-,0,792.2,0.3,13,3,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,22,1037.42,0.06,(3/2 5/2),1,66.5,0.05,3/2-,1,970.87,0.1,100,5,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,22,1037.42,0.06,(3/2 5/2),0,0,,5/2+,2,1037.43,0.1,50,3,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,23,1055.5,1,,1,66.5,0.05,3/2-,0,988.27,0.1,100,,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,24,1108.65,0.12,(5/2),15,872.01,0.07,(3/2 5/2),0,237.1,0.5,26,7,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,24,1108.65,0.12,(5/2),6,499.5,0.11,7/2-,1,609.04,0.29,38,8,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,24,1108.65,0.12,(5/2),2,149.93,0.09,7/2+,2,958.7,0.1,100,7,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,24,1108.65,0.12,(5/2),0,0,,5/2+,3,1109,1,22,7,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,25,1154.2,0.7,,21,1024.8,0.6,(3/2 5/2),0,129,1,4.8,0.048,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,25,1154.2,0.7,,7,577.2,0.6,(3/2- 5/2 7/2-),1,577.2,0.5,100,14,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,26,1176.44,0.15,11/2-,14,799.11,0.13,9/2-,0,377.2,0.1,85,3,M1+E2,-0.18,0.03,,,46,,0.153,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,26,1176.44,0.15,11/2-,6,499.5,0.11,7/2-,1,676.9,0.2,100,4,E2,,,,,93,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,27,1243.09,0.14,(1/2+ 3/2 5/2-),8,674.98,0.21,(3/2+ 5/2),0,568.9,1,39,13,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,27,1243.09,0.14,(1/2+ 3/2 5/2-),5,459.88,0.09,1/2-,1,782.6,0.5,96,34,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,27,1243.09,0.14,(1/2+ 3/2 5/2-),1,66.5,0.05,3/2-,2,1176.67,0.15,100,12,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,27,1243.09,0.14,(1/2+ 3/2 5/2-),0,0,,5/2+,3,1242.9,0.3,36,5,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,28,1312.44,0.15,(1/2 3/2 5/2-),17,957.83,0.1,,0,354.1,0.8,43,14,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,28,1312.44,0.15,(1/2 3/2 5/2-),5,459.88,0.09,1/2-,1,852.58,0.13,100,5,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,29,1444.1,0.7,(1/2 3/2 5/2),25,1154.2,0.7,,0,291,1.5,43,14,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,29,1444.1,0.7,(1/2 3/2 5/2),9,714.36,0.08,(1/2- 3/2 5/2-),1,729.1,0.9,57,28,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,29,1444.1,0.7,(1/2 3/2 5/2),1,66.5,0.05,3/2-,2,1378.1,1.5,100,43,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,30,1509.5,0.7,(3/2+ 5/2),10,733.3,0.6,(1/2 3/2 5/2),0,776.1,0.9,100,25,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
36,41,Kr,30,1509.5,0.7,(3/2+ 5/2),8,674.98,0.21,(3/2+ 5/2),1,834.1,1,50,25,,,,,,,,,,,,,,30-SEP-2020,BALRAJ SINGH,2025-10-17
