z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
37,48,Rb,1,151.192,0.006,3/2-,0,0,,5/2-,0,151.195,0.006,100,,M1+E2,0.072,0.004,,,2.2,,0.0085,,,,0.0481,0.0007,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,2,281.005,0.01,1/2-,1,151.192,0.006,3/2-,0,129.82,0.012,100,0.07,(M1),,,,,,,0.234,,,,0.071,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,2,281.005,0.01,1/2-,0,0,,5/2-,1,281.01,0.02,0.58,0.05,(E2),,,,,1.96,,,,,,0.0227,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,3,514.0065,0.0022,9/2+,2,281.005,0.01,1/2-,0,233,,0.00004,,[M4],,,,,,,,,,,1.99,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,3,514.0065,0.0022,9/2+,1,151.192,0.006,3/2-,1,362.81,0.04,0.00084,0.0003,(E3),,,,,,,,,,,0.0338,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,3,514.0065,0.0022,9/2+,0,0,,5/2-,2,514.0048,0.0022,100,,M2,,,,,,,,,0.04374,,0.00712,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,4,731.829,0.011,3/2-,2,281.005,0.01,1/2-,0,450.85,0.02,68.4,2.1,M1+E2,-0.6,0.3,,,32,,0.016,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,4,731.829,0.011,3/2-,1,151.192,0.006,3/2-,1,580.65,0.05,5.1,0.5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,4,731.829,0.011,3/2-,0,0,,5/2-,2,731.812,0.013,100,3,M1+E2,0.62,0.06,,,4.4,,0.0053,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,5,868.94,0.04,7/2-,3,514.0065,0.0022,9/2+,0,354.9,0.3,2.1,0.3,(E1),,,0.000064,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,5,868.94,0.04,7/2-,1,151.192,0.006,3/2-,1,717.87,0.05,1,0.2,(E2),,,,,0.52,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,5,868.94,0.04,7/2-,0,0,,5/2-,2,868.6,0.1,100,3,M1+E2,1.1,,,,11,,0.0059,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,6,885.84,0.14,1/2-,1,151.192,0.006,3/2-,0,734.6,0.2,100,3,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,6,885.84,0.14,1/2-,0,0,,5/2-,1,885.8,0.3,3.7,0.4,(E2),,,,,2.1,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,7,919.73,0.03,(3/2 5/2)-,2,281.005,0.01,1/2-,0,638.5,0.5,0.5,0.2,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,7,919.73,0.03,(3/2 5/2)-,1,151.192,0.006,3/2-,1,768.54,0.03,100,3,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,7,919.73,0.03,(3/2 5/2)-,0,0,,5/2-,2,919.7,0.05,41.7,1.2,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,8,950.95,0.03,5/2+,3,514.0065,0.0022,9/2+,0,436.9,0.3,3.8,0.4,(E2),,,,,19,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,8,950.95,0.03,5/2+,1,151.192,0.006,3/2-,1,799.66,0.07,10.6,0.4,(E1),,,0.000023,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,8,950.95,0.03,5/2+,0,0,,5/2-,2,950.96,0.03,100,3,(E1),,,0.00013,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,9,1175.56,0.04,(5/2-),4,731.829,0.011,3/2-,0,443.8,0.3,3.4,0.5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,9,1175.56,0.04,(5/2-),2,281.005,0.01,1/2-,1,894.5,0.3,9.4,0.5,[E2],,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,9,1175.56,0.04,(5/2-),1,151.192,0.006,3/2-,2,1024.36,0.04,100,4,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,9,1175.56,0.04,(5/2-),0,0,,5/2-,3,1175.53,0.18,27.5,1.2,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,10,1293.34,0.08,(13/2)+,3,514.0065,0.0022,9/2+,0,779.36,0.1,100,,E2,,,,,10.6,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,11,1295.96,0.05,1/2- 3/2-,7,919.73,0.03,(3/2 5/2)-,0,376.2,0.4,3,,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,11,1295.96,0.05,1/2- 3/2-,2,281.005,0.01,1/2-,1,1014.88,0.14,20,1.5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,11,1295.96,0.05,1/2- 3/2-,1,151.192,0.006,3/2-,2,1144.76,0.07,100,4,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,11,1295.96,0.05,1/2- 3/2-,0,0,,5/2-,3,1295.96,0.08,49.4,1.9,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,12,1384.24,0.08,5/2- 7/2-,7,919.73,0.03,(3/2 5/2)-,0,464.32,0.18,100,5,(M1+E2),1.7,,,,690,,0.015,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,12,1384.24,0.08,5/2- 7/2-,1,151.192,0.006,3/2-,1,1233,0.09,87,5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,12,1384.24,0.08,5/2- 7/2-,0,0,,5/2-,2,1385.1,0.3,4.9,0.5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,13,1445.05,0.07,(9/2-),5,868.94,0.04,7/2-,0,576.15,0.14,47,2.5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,13,1445.05,0.07,(9/2-),3,514.0065,0.0022,9/2+,1,931.1,0.2,12.2,0.6,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,13,1445.05,0.07,(9/2-),0,0,,5/2-,2,1445,0.1,100,4,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,14,1449.2,0.11,(5/2+ 7/2+),8,950.95,0.03,5/2+,0,498.1,0.3,23,3,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,14,1449.2,0.11,(5/2+ 7/2+),5,868.94,0.04,7/2-,1,580.6,0.2,3.3,0.6,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,14,1449.2,0.11,(5/2+ 7/2+),3,514.0065,0.0022,9/2+,2,934.9,0.2,100,3,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,14,1449.2,0.11,(5/2+ 7/2+),0,0,,5/2-,3,1449.2,0.2,18.2,1.5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,15,1496.31,0.09,(1/2)-,7,919.73,0.03,(3/2 5/2)-,0,576.3,0.2,,,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,15,1496.31,0.09,(1/2)-,6,885.84,0.14,1/2-,1,610.4,0.2,22,4,[M1],,,,,,,0.04,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,15,1496.31,0.09,(1/2)-,2,281.005,0.01,1/2-,2,1215.1,0.3,13.1,2,[M1],,,,,,,0.003,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,15,1496.31,0.09,(1/2)-,1,151.192,0.006,3/2-,3,1345.25,0.12,100,5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,15,1496.31,0.09,(1/2)-,0,0,,5/2-,4,1496.4,0.3,16.8,1.6,(E2),,,,,1.1,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,16,1631.42,0.07,(5/2)-,8,950.95,0.03,5/2+,0,680,0.8,5.3,1.4,(E1),,,0.00011,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,16,1631.42,0.07,(5/2)-,5,868.94,0.04,7/2-,1,762.49,0.05,100,5,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,16,1631.42,0.07,(5/2)-,1,151.192,0.006,3/2-,2,1480.5,0.4,8.1,1.1,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,16,1631.42,0.07,(5/2)-,0,0,,5/2-,3,1631.2,0.2,38.1,1.8,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,17,1668.65,0.06,1/2 3/2 5/2-,2,281.005,0.01,1/2-,0,1387.63,0.06,100,,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,18,1747.88,0.13,(11/2+ 13/2+),10,1293.34,0.08,(13/2)+,0,454.6,0.2,100,10,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,18,1747.88,0.13,(11/2+ 13/2+),3,514.0065,0.0022,9/2+,1,1233.6,0.4,29,6,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,19,1786.93,0.16,(5/2+),4,731.829,0.011,3/2-,0,1054.7,0.4,11.3,1.2,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,19,1786.93,0.16,(5/2+),3,514.0065,0.0022,9/2+,1,1272.7,0.3,24.6,1.9,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,19,1786.93,0.16,(5/2+),0,0,,5/2-,2,1787.1,0.2,100,6,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,20,1792.31,0.09,1/2-,4,731.829,0.011,3/2-,0,1060.4,0.2,13,1.3,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
37,48,Rb,20,1792.31,0.09,1/2-,1,151.192,0.006,3/2-,1,1641.12,0.1,100,8,,,,,,,,,,,,,,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
