z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
35,54,Br,1,130.3,0.3,(3/2-),0,0,,(5/2-),0,130.3,0.3,100,,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,2,506.7,0.3,(7/2-),0,0,,(5/2-),0,506.7,0.3,100,,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,3,531.5,0.3,(5/2-),1,130.3,0.3,(3/2-),0,401.2,0.3,100,29,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,3,531.5,0.3,(5/2-),0,0,,(5/2-),1,531.5,0.3,29,13,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,4,953.4,0.3,(7/2-),3,531.5,0.3,(5/2-),0,422,0.3,100,15,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,4,953.4,0.3,(7/2-),1,130.3,0.3,(3/2-),1,823.1,0.4,35,15,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,4,953.4,0.3,(7/2-),0,0,,(5/2-),2,953.3,0.5,78,15,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,5,1545.9,0.4,(9/2+),4,953.4,0.3,(7/2-),0,592.6,0.8,40,9,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,5,1545.9,0.4,(9/2+),2,506.7,0.3,(7/2-),1,1039.2,0.4,100,9,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,6,2136.6,0.5,(13/2+),5,1545.9,0.4,(9/2+),0,590.7,0.3,100,,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,7,3035.2,0.7,(17/2+),6,2136.6,0.5,(13/2+),0,898.6,0.4,100,,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,8,3778.1,0.7,(19/2+),7,3035.2,0.7,(17/2+),0,742.8,0.4,100,,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,9,4031.7,0.7,(21/2+),8,3778.1,0.7,(19/2+),0,253.6,0.6,15,8,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,9,4031.7,0.7,(21/2+),7,3035.2,0.7,(17/2+),1,996.5,0.4,100,23,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17
35,54,Br,10,4857.6,0.9,(23/2+),9,4031.7,0.7,(21/2+),0,825.9,0.5,100,,,,,,,,,,,,,,,30-Nov-2021,Balraj Singh,2025-10-17

