z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
42,48,Mo,1,948.02,0.09,2+,0,0,,0+,0,948.01,0.09,100,,E2,,,,,,,,,,,0.000874,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,2,1896.53,0.13,2+,1,948.02,0.09,2+,0,948.5,0.1,,,[M1+E2],,,,,,,,,,,0.000887,0.000019,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,2,1896.53,0.13,2+,0,0,,0+,1,1896.8,,,,[E2],,,,,,,,,,,0.000464,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,4,2002.12,0.11,4+,1,948.02,0.09,2+,0,1054.1,0.07,100,,E2,,,,,,,,,,,0.000686,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,5,2432.63,0.17,3-,2,1896.53,0.13,2+,0,536.1,0.1,57,5,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,5,2432.63,0.17,3-,1,948.02,0.09,2+,1,1484.7,,100,16,E1+M2,-0.12,0.08,,,,,,,,,0.000397,0.000011,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,7,2534.1,0.7,(2+),1,948.02,0.09,2+,0,1586.2,,100,,D(+Q),-0.13,0.22,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,7,2534.1,0.7,(2+),0,0,,0+,1,2534,,5.6,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,8,2548.82,0.12,5-,4,2002.12,0.11,4+,0,546.69,0.04,100,,E1,,,0.000129,,,,,,,,0.0012,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,11,2811.69,0.12,6+,8,2548.82,0.12,5-,0,262.84,0.17,4.9,0.3,E1,,,,,,,,,,,0.0079,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,11,2811.69,0.12,6+,4,2002.12,0.11,4+,1,809.57,0.06,100,3,E2,,,,,,,,,,,0.00128,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,12,2859.21,0.13,5-,8,2548.82,0.12,5-,0,310.39,0.06,100,11,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,12,2859.21,0.13,5-,4,2002.12,0.11,4+,1,857.1,0.12,30,3,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,13,2874.81,0.15,8+,11,2811.69,0.12,6+,0,63.15,0.09,100,,[E2],,,,,2.84,,,,,,6.3,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,14,2901.23,0.19,(4-),5,2432.63,0.17,3-,0,468.6,0.1,100,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,15,2946.89,0.14,(6+),11,2811.69,0.12,6+,0,135.18,0.08,50,5,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,15,2946.89,0.14,(6+),4,2002.12,0.11,4+,1,944.8,0.14,100,12,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,16,3037.6,1,,4,2002.12,0.11,4+,0,1035.5,1,100,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,18,3106.2,0.16,8+,13,2874.81,0.15,8+,0,231.43,0.08,100,,M1+E2,-0.04,,,,,,0.35,,,,0.026,0.006,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,19,3147.9,1,2+,5,2432.63,0.17,3-,0,715.3,,100,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,20,3150,0.5,,4,2002.12,0.11,4+,0,1147.9,0.5,100,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,22,3293.86,0.22,,11,2811.69,0.12,6+,0,482.26,0.2,100,7,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,22,3293.86,0.22,,4,2002.12,0.11,4+,1,1291.4,0.5,54,5,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,24,3367.38,0.13,7-,12,2859.21,0.13,5-,0,508.2,0.15,13,,[E2],,,,,,,,,,,0.00452,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,24,3367.38,0.13,7-,11,2811.69,0.12,6+,1,555.65,0.09,30.8,2.1,E1,,,,,,,,,,,0.00115,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,24,3367.38,0.13,7-,8,2548.82,0.12,5-,2,818.56,0.1,100,7,E2,,,,,,,,,,,0.00124,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,25,3446.22,0.19,(7-),8,2548.82,0.12,5-,0,897.4,0.15,100,,(E2),,,,,,,,,,,0.000995,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,28,3539.8,0.8,,15,2946.89,0.14,(6+),0,592.9,0.8,100,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,29,3659.73,0.16,(7-),24,3367.38,0.13,7-,0,292.3,0.24,100,8,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,29,3659.73,0.16,(7-),12,2859.21,0.13,5-,1,800.52,0.15,60,4,(E2),,,,,,,,,,,0.00131,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,34,4078.91,0.16,10+,18,3106.2,0.16,8+,0,972.73,0.08,100,,E2,,,,,1.86,,,,,,0.000823,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,35,4094.8,0.5,,22,3293.86,0.22,,0,801.2,0.5,100,15,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,35,4094.8,0.5,,4,2002.12,0.11,4+,1,2091.7,0.9,68,15,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,36,4175.4,0.8,,11,2811.69,0.12,6+,0,1363.7,0.8,100,,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,37,4192.52,0.15,10+,34,4078.91,0.16,10+,0,113.64,0.08,1.8,0.3,,,,,,,,,,,,,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,37,4192.52,0.15,10+,18,3106.2,0.16,8+,1,1086.37,0.12,1.36,0.21,[E2],,,,,,,,,,,0.000641,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
42,48,Mo,37,4192.52,0.15,10+,13,2874.81,0.15,8+,2,1317.68,0.07,100,14,E2,,,,,,,,,,,0.000454,,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
