z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
44,47,Ru,2,46,,(7/2+),0,0,,(9/2+),0,46,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,3,436,0.5,(11/2+),0,0,,(9/2+),0,436,0.5,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,4,889.8,0.2,(11/2+),2,46,,(7/2+),0,844,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,4,889.8,0.2,(11/2+),0,0,,(9/2+),1,889.8,0.2,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,5,973.5,,(13/2+),3,436,0.5,(11/2+),0,538,0.5,0.4,,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,5,973.5,,(13/2+),0,0,,(9/2+),1,973.1,0.1,100,,E2,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,6,1660,,(11/2+),5,973.5,,(13/2+),0,686,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,6,1660,,(11/2+),2,46,,(7/2+),1,1614,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,6,1660,,(11/2+),0,0,,(9/2+),2,1660,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,7,1872,,(17/2+),5,973.5,,(13/2+),0,898.5,0.5,100,,E2,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,8,1893,,(13/2-),6,1660,,(11/2+),0,234,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,8,1893,,(13/2-),5,973.5,,(13/2+),1,919.8,0.5,100,0.9,E1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,8,1893,,(13/2-),4,889.8,0.2,(11/2+),2,1003,,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,9,2179,,(15/2+),6,1660,,(11/2+),0,519,,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,10,2200,,(17/2-),8,1893,,(13/2-),0,306.8,0.5,7.6,0.8,Q,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,10,2200,,(17/2-),7,1872,,(17/2+),1,328,0.5,100,0.4,E1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,11,2253.8,,(15/2-),8,1893,,(13/2-),0,360.6,0.5,100,3,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,11,2253.8,,(15/2-),5,973.5,,(13/2+),1,1280.7,0.5,36,14,E1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,12,2363,,(17/2+),7,1872,,(17/2+),0,491.4,0.5,100,,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,13,2369.4,,(21/2+),7,1872,,(17/2+),0,497.2,0.5,100,,E2,,,,,0.038,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,14,2409.3,,(17/2-),11,2253.8,,(15/2-),0,155.4,0.5,67,4,D,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,14,2409.3,,(17/2-),10,2200,,(17/2-),1,209.4,0.5,100,4,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,14,2409.3,,(17/2-),8,1893,,(13/2-),2,516.4,0.5,24.4,2.2,E2,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,15,2709.3,,(19/2-),14,2409.3,,(17/2-),0,299.9,0.5,100,14,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,15,2709.3,,(19/2-),10,2200,,(17/2-),1,509.4,,57,29,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,16,2799,,(21/2+),12,2363,,(17/2+),0,436,0.5,100,,E2,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,17,2927.6,,(19/2-),15,2709.3,,(19/2-),0,218,,33,17,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,17,2927.6,,(19/2-),10,2200,,(17/2-),1,727.5,0.5,100,17,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,18,2985.3,,(23/2+),13,2369.4,,(21/2+),0,615.8,0.5,100,,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,19,3004.9,,(19/2-),15,2709.3,,(19/2-),0,296.3,,100,33,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,19,3004.9,,(19/2-),10,2200,,(17/2-),1,804,,67,33,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,20,3164.3,,(21/2-),17,2927.6,,(19/2-),0,236.8,0.5,16.8,1.7,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,20,3164.3,,(21/2-),15,2709.3,,(19/2-),1,455,0.5,5.8,0.6,D,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,20,3164.3,,(21/2-),14,2409.3,,(17/2-),2,754.5,0.5,9.8,1.2,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,20,3164.3,,(21/2-),10,2200,,(17/2-),3,964.5,0.5,100,1.7,E2,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,21,3192.5,,(25/2+),18,2985.3,,(23/2+),0,206.9,0.5,100,2.5,D,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,21,3192.5,,(25/2+),13,2369.4,,(21/2+),1,823,0.5,42.5,1.3,E2,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
44,47,Ru,22,3258,,(21/2-),15,2709.3,,(19/2-),0,549.3,0.5,100,,M1,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
