z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
40,51,Zr,1,1204.81,0.13,1/2+,0,0,,5/2+,0,1204.8,0.13,100,,E2,,,,,15,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,2,1466.4,0.4,5/2+,0,0,,5/2+,0,1466.3,0.4,100,,[M1 E2],,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,3,1882.2,0.17,7/2+,0,0,,5/2+,0,1882.18,0.19,100,,(M1+E2),1.25,0.15,,,7.7,,0.017,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,4,2042.35,0.19,3/2+,0,0,,5/2+,0,2042.33,0.19,100,,(M1(+E2)),,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,5,2131.49,0.15,(9/2)+,0,0,,5/2+,0,2131.54,0.18,100,,(E2),,,,,4.2,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,6,2170.15,0.15,(11/2)-,5,2131.49,0.15,(9/2)+,0,38.7,0.2,2.5,1.4,[E1],,,0.025,,,,,,,,1.75,0.04,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,6,2170.15,0.15,(11/2)-,0,0,,5/2+,1,2170.04,0.18,100,10,(E3),,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,7,2189.5,0.6,(5/2)-,0,0,,5/2+,0,2189,0.7,100,,[E1],,,0.000018,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,8,2200.5,0.3,7/2+,0,0,,5/2+,0,2200.5,0.3,100,,(M1+E2),,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,9,2259.92,0.21,(13/2)-,6,2170.15,0.15,(11/2)-,0,89.55,0.19,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,10,2287.8,0.3,(15/2)-,9,2259.92,0.21,(13/2)-,0,28,0.2,100,,(M1),,,,,,,0.00388,,,,7.92,0.21,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,11,2320.5,0.3,(11/2)-,9,2259.92,0.21,(13/2)-,0,60.33,0.2,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,11,2320.5,0.3,(11/2)-,6,2170.15,0.15,(11/2)-,1,151.1,0.4,,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,12,2356.4,0.7,(1/2)-,1,1204.81,0.13,1/2+,0,1151.6,0.6,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,13,2366.56,0.19,,0,0,,5/2+,0,2366.53,0.19,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,14,2394.9,0.8,(9/2)-,6,2170.15,0.15,(11/2)-,0,224.8,0.7,100,,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,15,2534.69,0.22,(3/2+ 5/2+),3,1882.2,0.17,7/2+,0,652.49,0.2,77,20,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,15,2534.69,0.22,(3/2+ 5/2+),2,1466.4,0.4,5/2+,1,1068,0.5,48,9,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
40,51,Zr,15,2534.69,0.22,(3/2+ 5/2+),0,0,,5/2+,2,2534.8,0.4,100,18,,,,,,,,,,,,,,1-Sep-2013,Coral M. Baglin,2025-10-17
