z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
46,48,Pd,1,813.8,0.1,2+,0,0,,0+,0,813.8,0.1,100,,[E2],,,,,,,,,,,0.00165,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,2,1719.11,0.14,(4+),1,813.8,0.1,2+,0,905.3,0.1,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,3,2378.13,0.17,(6+),2,1719.11,0.14,(4+),0,659.1,0.1,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,4,2536.6,0.7,(5-),3,2378.13,0.17,(6+),0,158,,,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,4,2536.6,0.7,(5-),2,1719.11,0.14,(4+),1,818,,,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,5,2697.6,0.17,(6+),3,2378.13,0.17,(6+),0,319.8,0.2,9.7,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,5,2697.6,0.17,(6+),2,1719.11,0.14,(4+),1,978.4,0.1,100,3,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,6,2702.13,0.2,(8+),3,2378.13,0.17,(6+),0,324,0.1,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,7,3049.13,0.22,(8+),6,2702.13,0.2,(8+),0,347,0.1,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,8,3064.3,0.3,(6+),3,2378.13,0.17,(6+),0,686.2,0.2,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,9,3794.04,0.22,(10+),7,3049.13,0.22,(8+),0,745,,,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,9,3794.04,0.22,(10+),6,2702.13,0.2,(8+),1,1091.9,0.1,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,10,4661,1,,9,3794.04,0.22,(10+),0,867,,,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,11,4787.5,0.3,(12+),9,3794.04,0.22,(10+),0,993.5,0.2,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,12,4883.1,0.4,(14+),11,4787.5,0.3,(12+),0,95.6,0.2,100,,E2,,,,,5.27,,,,,,1.65,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,13,5291.3,0.4,(15+),12,4883.1,0.4,(14+),0,408.2,0.2,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,14,5558.9,0.5,(16+),13,5291.3,0.4,(15+),0,267.6,0.2,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,15,7103.5,0.5,(18+),14,5558.9,0.5,(16+),0,1544.5,0.3,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
46,48,Pd,16,7700.2,0.6,(20+),15,7103.5,0.5,(18+),0,596.7,0.3,100,,,,,,,,,,,,,,,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-10-17

