z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
39,56,Y,1,685.9,0.3,3/2-,0,0,,1/2-,0,685.7,,100,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,2,826.9,0.4,5/2-,1,685.9,0.3,3/2-,0,141,,0.51,0.1,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,2,826.9,0.4,5/2-,0,0,,1/2-,1,826.8,,100,3,,,,,,,,,,,,0.00236,0.00004,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,3,1087.6,0.6,9/2+,2,826.9,0.4,5/2-,0,260.7,,100,3,(M2),,,,,,,,,0.033,,0.0694,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,3,1087.6,0.6,9/2+,1,685.9,0.3,3/2-,1,401.8,,1.1,0.1,(E3),,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,4,1630.9,0.6,(5/2-),3,1087.6,0.6,9/2+,0,543.4,,1.5,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,4,1630.9,0.6,(5/2-),1,685.9,0.3,3/2-,1,945,,100,12,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,5,1827.8,1,(11/2+),3,1087.6,0.6,9/2+,0,740.2,,100,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,6,1889.8,0.8,5/2-,2,826.9,0.4,5/2-,0,1062.8,,100,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,7,1963.4,0.5,(3/2- 5/2-),2,826.9,0.4,5/2-,0,1136.6,,5.5,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,7,1963.4,0.5,(3/2- 5/2-),1,685.9,0.3,3/2-,1,1277.4,,100,12,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,8,2021,0.5,(3/2-),2,826.9,0.4,5/2-,0,1194,,10,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,8,2021,0.5,(3/2-),1,685.9,0.3,3/2-,1,1335.4,,100,13,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,8,2021,0.5,(3/2-),0,0,,1/2-,2,2020,,40,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,9,2046.6,0.7,(1/2- 3/2-),1,685.9,0.3,3/2-,0,1360.9,,100,14,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,9,2046.6,0.7,(1/2- 3/2-),0,0,,1/2-,1,2046.4,,64,10,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,10,2173.4,1,(13/2)+,5,1827.8,1,(11/2+),0,345.6,,47,4,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,10,2173.4,1,(13/2)+,3,1087.6,0.6,9/2+,1,1085.8,,100,6,E2,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,11,2207.6,0.6,(5/2- 7/2-),4,1630.9,0.6,(5/2-),0,576.6,,100,12,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,11,2207.6,0.6,(5/2- 7/2-),3,1087.6,0.6,9/2+,1,1120,,15,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,13,2408.5,0.6,(3/2- 5/2-),2,826.9,0.4,5/2-,0,1581.4,,22,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,13,2408.5,0.6,(3/2- 5/2-),1,685.9,0.3,3/2-,1,1722.5,,100,14,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,14,2557.6,0.7,(1/2- 3/2-),1,685.9,0.3,3/2-,0,1872,,100,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,14,2557.6,0.7,(1/2- 3/2-),0,0,,1/2-,1,2557.2,,40,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,15,2614.6,0.5,(3/2- 5/2-),11,2207.6,0.6,(5/2- 7/2-),0,406.9,,10,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,15,2614.6,0.5,(3/2- 5/2-),7,1963.4,0.5,(3/2- 5/2-),1,651.3,,6,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,15,2614.6,0.5,(3/2- 5/2-),6,1889.8,0.8,5/2-,2,724.6,,15,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,15,2614.6,0.5,(3/2- 5/2-),4,1630.9,0.6,(5/2-),3,983.8,,100,12,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,15,2614.6,0.5,(3/2- 5/2-),1,685.9,0.3,3/2-,4,1928.5,,8,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,16,2684,0.6,(1/2- 3/2-),0,0,,1/2-,0,2684,,100,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,17,2717.2,0.6,(1/2+ 3/2+),1,685.9,0.3,3/2-,0,2031.5,,10.3,1.5,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,17,2717.2,0.6,(1/2+ 3/2+),0,0,,1/2-,1,2717.3,,100,12,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,18,2781.8,0.6,(3/2-),2,826.9,0.4,5/2-,0,1954.8,,9,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,18,2781.8,0.6,(3/2-),1,685.9,0.3,3/2-,1,2096.1,,12,6,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,18,2781.8,0.6,(3/2-),0,0,,1/2-,2,2781.8,,100,14,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,21,2933.4,0.5,(3/2+),7,1963.4,0.5,(3/2- 5/2-),0,970,,2,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,21,2933.4,0.5,(3/2+),4,1630.9,0.6,(5/2-),1,1302.5,,2,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,21,2933.4,0.5,(3/2+),2,826.9,0.4,5/2-,2,2106.3,,2,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,21,2933.4,0.5,(3/2+),1,685.9,0.3,3/2-,3,2247.6,,93,11,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,21,2933.4,0.5,(3/2+),0,0,,1/2-,4,2933.1,,100,12,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,22,3116.8,0.7,(1/2- 3/2-),1,685.9,0.3,3/2-,0,2430.8,,45,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,22,3116.8,0.7,(1/2- 3/2-),0,0,,1/2-,1,3116.8,,100,16,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,23,3142.5,1.4,(17/2-),10,2173.4,1,(13/2)+,0,969.1,,100,,(M2),,,,,,,,,0.17,,0.001569,0.000022,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,24,3314.3,1.7,(19/2+),23,3142.5,1.4,(17/2-),0,171.8,,100,,(E1),,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,25,3352.9,0.5,(3/2),21,2933.4,0.5,(3/2+),0,419.5,,9,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,25,3352.9,0.5,(3/2),16,2684,0.6,(1/2- 3/2-),1,668.6,,14,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,25,3352.9,0.5,(3/2),11,2207.6,0.6,(5/2- 7/2-),2,1145.4,,12,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,25,3352.9,0.5,(3/2),1,685.9,0.3,3/2-,3,2667.4,,19,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,25,3352.9,0.5,(3/2),0,0,,1/2-,4,3352.8,,100,15,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),21,2933.4,0.5,(3/2+),0,458.4,,30,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),16,2684,0.6,(1/2- 3/2-),1,708.4,,19,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),15,2614.6,0.5,(3/2- 5/2-),2,777.3,,100,13,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),11,2207.6,0.6,(5/2- 7/2-),3,1184,,27,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),8,2021,0.5,(3/2-),4,1370.5,,15,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),7,1963.4,0.5,(3/2- 5/2-),5,1428.3,,57,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),2,826.9,0.4,5/2-,6,2564.9,,6,,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
39,56,Y,26,3391.8,0.5,(3/2),1,685.9,0.3,3/2-,7,2705.8,,38,7,,,,,,,,,,,,,,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-10-17
