z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
41,55,Nb,1,44.19,0.06,(5+),0,0,,6+,0,44.19,0.06,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,2,146.1,0.1,(4+),1,44.19,0.06,(5+),0,101.91,0.08,100,,M1,,,,,,,0.021,,,,0.214,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,3,184.58,0.12,(3+),2,146.1,0.1,(4+),0,38.48,0.06,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,5,511.84,0.15,(2-),3,184.58,0.12,(3+),0,327.29,0.12,100,,E1,,,0.000023,,,,,,,,0.00409,0.00006,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,6,634.96,0.19,(2+),3,184.58,0.12,(3+),0,450.37,0.16,100,,M1,,,,,,,0.00017,,,,0.00451,0.00007,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,7,694.62,0.16,(3-),5,511.84,0.15,(2-),0,182.8,0.08,100,2,M1,,,,,,,0.0021,,,,0.0438,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,7,694.62,0.16,(3-),3,184.58,0.12,(3+),1,510,0.2,20,6,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,8,867.9,0.3,(3-),5,511.84,0.15,(2-),0,356.01,0.25,100,,M1,,,,,,,,,,,0.00798,0.00012,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,9,1002.67,0.18,(3- 2-),7,694.62,0.16,(3-),0,308.05,0.12,100,3,M1+E2,1.3,,,,,,,,,,0.0174,0.0024,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,9,1002.67,0.18,(3- 2-),3,184.58,0.12,(3+),1,818,0.3,14.2,1.7,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,10,1045.4,0.4,(4 3),2,146.1,0.1,(4+),0,899.3,0.4,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,12,1140.7,0.3,(0- 2),5,511.84,0.15,(2-),0,628.9,0.24,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,13,1156.1,0.5,,5,511.84,0.15,(2-),0,644.3,0.5,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,14,1242.4,0.4,(3),3,184.58,0.12,(3+),0,1057.8,0.4,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,15,1258.2,0.8,,5,511.84,0.15,(2-),0,746.4,0.8,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,16,1270.18,0.21,,9,1002.67,0.18,(3- 2-),0,267.5,0.2,17.4,3,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,16,1270.18,0.21,,7,694.62,0.16,(3-),1,575.58,0.2,100,5,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,16,1270.18,0.21,,5,511.84,0.15,(2-),2,758.3,0.4,52,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,17,1325.6,0.4,(4),2,146.1,0.1,(4+),0,1179.5,0.4,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,18,1346.3,0.3,,7,694.62,0.16,(3-),0,651.72,0.24,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,19,1368.5,0.3,,7,694.62,0.16,(3-),0,674,0.6,77,10,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,19,1368.5,0.3,,6,634.96,0.19,(2+),1,733.5,0.3,100,6,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,21,1498.5,0.4,(0 3),5,511.84,0.15,(2-),0,986.7,0.4,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,22,1519.9,0.6,(3 0),5,511.84,0.15,(2-),0,1008.1,0.6,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
41,55,Nb,24,1614.7,0.4,,3,184.58,0.12,(3+),0,1430.1,0.4,100,,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17

