z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
38,58,Sr,1,814.93,0.07,2+,0,0,,0+,0,815,0.1,100,,E2,,,,,13,,,,,,0.000949,0.000014,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,2,1229.28,0.1,0+,1,814.93,0.07,2+,0,414.3,0.1,100,,E2,,,,,15.3,,,,,,0.00659,0.0001,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,3,1464.6,0.5,0+,2,1229.28,0.1,0+,0,235.1,0.5,,,E0,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,3,1464.6,0.5,0+,1,814.93,0.07,2+,1,650.5,1,100,25,E2,,,,,0.028,,,,,,0.00172,0.00003,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,4,1506.84,0.09,2+,1,814.93,0.07,2+,0,692,0.1,100,6,M1+E2,2,1.1,,,8.9,,0.00017,,,,0.00141,0.00008,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,4,1506.84,0.09,2+,0,0,,0+,1,1506.9,0.2,54,4,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,5,1628.19,0.1,(2+),2,1229.28,0.1,0+,0,398.9,0.1,5.3,0.4,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,5,1628.19,0.1,(2+),1,814.93,0.07,2+,1,813.2,0.2,100,11,(M1+E2),0.58,,,,,,,,,,0.000894,0.000016,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,5,1628.19,0.1,(2+),0,0,,0+,2,1628.2,0.2,12.2,1.1,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,6,1792.77,0.11,4+,1,814.93,0.07,2+,0,977.8,0.1,100,,E2,,,,,,,,,,,0.00061,0.000009,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,7,1852.14,0.1,(3),4,1506.84,0.09,2+,0,345.4,0.2,2.5,0.5,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,7,1852.14,0.1,(3),1,814.93,0.07,2+,1,1037.3,0.1,100,8,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,8,1975.73,0.11,(4+),5,1628.19,0.1,(2+),0,347.3,0.2,25,4,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,8,1975.73,0.11,(4+),4,1506.84,0.09,2+,1,469,0.1,100,10,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,8,1975.73,0.11,(4+),1,814.93,0.07,2+,2,1160.6,0.2,55,6,E2,,,,,,,,,,,0.000417,0.000006,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,9,1994.98,0.13,(1+ 2+),5,1628.19,0.1,(2+),0,366.8,0.2,2.6,0.5,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
38,58,Sr,9,1994.98,0.13,(1+ 2+),2,1229.28,0.1,0+,1,765.9,0.3,5,0.7,,,,,,,,,,,,,,1-Apr-2008,D. Abriola(a) and  A.A. Sonzogni,2025-10-17
