z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
41,60,Nb,0,,0,,,(5/2+),1,7.1,,3,s,7.1,0.3,B-,100,,,,,,,,,3.181,0.002,1.05,0.07,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,1,,119.41,0.07,,(7/2+),1,84,,4,ps,0.000000000084,0.000000000004,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,2,,205.28,0.07,,(3/2-),1,1.83,,3,ns,0.00000000183,0.00000000003,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,3,,208.36,0.08,,(5/2-),1,0.80,,5,ns,0.0000000008,0.00000000005,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,4,,255.24,0.1,,(9/2+),1,35,,5,ps,0.000000000035,0.000000000005,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,5,,346.08,0.08,,(5/2-),2,24,,5,ps,0.000000000024,0.000000000005,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,6,,373.99,0.1,,(7/2-),1,19,,11,ps,0.000000000019,0.000000000011,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,7,,532.1,0.1,,(7/2-),2,13,,10,ps,0.000000000013,0.00000000001,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,8,,532.2,,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,9,,572.8,,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,10,,593.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,11,,597.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
41,60,Nb,12,,673.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
