z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
44,57,Ru,0,,0,,,5/2+,1,STABLE,,,,,,,,,,,,,,,,-0.7208,0.0003,0.46,0.02,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,1,,127.229,0.008,,3/2+,1,0.655,,4,ns,0.000000000655,0.000000000004,,,,,,,,,,,-0.21,0.005,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,2,,306.858,0.005,,7/2+,1,0.053,,14,ns,0.000000000053,0.000000000014,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,3,,311.368,0.017,,5/2+,2,0.15,LE,,ns,0.00000000015,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,4,,325.23,0.03,,1/2+,1,0.20,,4,ns,0.0000000002,0.00000000004,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,5,,422.22,0.03,,3/2+,2,1.4,GE,,ps,0.0000000000014,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,6,,527.56,0.1,,11/2-,1,17.5,,4,us,0.0000175,0.0000004,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,7,,535,1.2,,3/2+,3,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,8,,545.115,0.007,,7/2+,2,1.5,,3,ps,0.0000000000015,0.0000000000003,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,9,,598.34,0.18,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,10,,616.3,0.1,,3/2+ 5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
44,57,Ru,11,,623,5,,3/2+ 5/2+,2,,,,,,,,,,,,,,,,,,,,,1-Jul-2006,JEAN BLACHOT,2025-10-17
