z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
45,58,Rh,0,,0,,,1/2-,1,STABLE,,,,,,,,,,,,,,,,-0.08829,0.00004,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,1,,39.753,0.006,,7/2+,1,56.114,,9,m,3366.84,0.54,IT,100,,,,,,,,,4.5,0.05,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,2,,93.036,0.009,,9/2+,1,1.11,,3,ns,0.00000000111,0.00000000003,,,,,,,,,,,4.9,0.8,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,3,,294.965,0.008,,3/2-,1,6.61,,18,ps,0.00000000000661,0.00000000000018,,,,,,,,,,,0.81,0.08,-0.3,0.2,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,4,,357.396,0.017,,5/2-,1,73,,2,ps,0.000000000073,0.000000000002,,,,,,,,,,,1.08,0.08,-0.4,0.2,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,5,,536.84,0.007,,5/2+,1,39,,12,ps,0.000000000039,0.000000000012,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,6,,607.409,0.014,,(5/2+ 7/2 9/2),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,7,,650.064,0.018,,5/2+,2,0.1,LE,,ns,0.0000000001,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,8,,651.716,0.014,,(3/2)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,9,,657.76,0.15,,11/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,10,,781.15,0.22,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,11,,803.16,0.09,,1/2-,2,0.120,,19,ps,0.00000000000012,0.000000000000019,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,12,,821.45,0.15,,13/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,13,,847.59,0.08,,7/2-,1,1.9,,2,ps,0.0000000000019,0.0000000000002,,,,,,,,,,,2,0.6,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,14,,880.46,0.06,,5/2-,2,2.2,,3,ps,0.0000000000022,0.0000000000003,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,15,,903.2,0.6,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,16,,920.09,0.07,,9/2-,1,5.6,,3,ps,0.0000000000056,0.0000000000003,,,,,,,,,,,2.8,0.5,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,17,,1078.31,0.2,,(5/2+ 7/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,18,,1106.86,0.13,,5/2-,3,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,19,,1135.8,0.4,,(1/2 3/2 5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,20,,1252.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,21,,1256.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,22,,1277.17,0.09,,3/2-,2,0.53,,36,ps,0.00000000000053,0.00000000000036,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,23,,1293.99,0.24,,(1/2- 3/2 5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,24,,1327,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,25,,1344.7,0.5,,(7/2+ 9/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,26,,1349.5,0.5,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,27,,1404,7,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,28,,1410.93,0.13,,(3/2- 5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,29,,1411.06,0.16,,(3/2- 5/2-),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,30,,1420.5,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,31,,1428.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,32,,1438.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,33,,1443.63,0.24,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,34,,1466.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,35,,1470,,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,36,,1480.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,37,,1482.36,0.14,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,38,,1491.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,39,,1515.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,40,,1524.7,0.3,,15/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,41,,1530.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,42,,1579.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,43,,1599.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,44,,1605,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,45,,1611.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,46,,1614,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,47,,1626,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,48,,1637.67,0.2,,13/2-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,49,,1650,10,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,50,,1685.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,51,,1706.11,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,52,,1707.02,0.18,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,53,,1717.4,0.3,,17/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,54,,1731.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,55,,1774,10,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,56,,1778,0.8,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,57,,1812,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,58,,1842.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,59,,1851.6,0.5,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,60,,1861,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,61,,1901,10,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,62,,1923,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,63,,1943,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,64,,1968.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,65,,1969,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,66,,1969.8,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,67,,1986,10,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,68,,1997,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,69,,1999.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,70,,2001,1,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
45,58,Rh,71,,2008.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
