z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
40,63,Zr,0,,0,,,(5/2-),1,1.3,,1,s,1.3,0.1,B-,100,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,1,,109.1,0.3,,(7/2-),1,3,LT,,ns,0.000000003,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,2,,256.5,,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,3,,258.9,0.3,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,4,,357.1,0.4,,(5/2+),1,3,LT,,ns,0.000000003,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,5,,428,,,(11/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,6,,657.3,,,(13/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,7,,882.2,,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,8,,1211.7,,,(17/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,9,,1473.3,,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,10,,1914,,,(21/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,11,,2196.5,,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,12,,3048.5,,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17
40,63,Zr,13,,4028,,,(31/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,D. DE FRENNE,2025-10-17

