z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
43,64,Tc,0,,0,,,(3/2-),1,21.2,,2,s,21.2,0.2,B-,100,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,1,X,0,,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,2,,30.1,0.1,,(1/2+),1,3.85,,5,us,0.00000385,0.00000005,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,3,,45.84,0.1,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,4,,65.72,0.14,,(5/2+),1,184,,3,ns,0.000000184,0.000000003,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,5,,134.4,0.2,,5/2-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,6,,137.43,0.16,,(7/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,7,X,172.34,0.1,,(7/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,8,,207.8,0.6,,(7/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,9,,275.79,0.16,,(9/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,10,,413.3,0.8,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,11,,466.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,12,,495.92,0.16,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,13,X,501.44,0.15,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,14,,549.32,0.16,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,15,,568.39,0.17,,(11/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,16,,646.2,0.9,,11/2-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,17,,727.96,0.17,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,18,,766.05,0.17,,(11/2+),3,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,19,,850.7,0.17,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,20,,934.7,1.3,,13/2-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,21,X,983.99,0.18,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,22,,1087.74,0.17,,(13/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,23,,1143.33,0.18,,(15/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,24,,1228.8,1.4,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,25,,1330.27,0.18,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,26,,1374.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,27,,1391.64,0.18,,(15/2+),3,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,28,,1596.3,1.6,,(17/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,29,X,1613.04,0.2,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,30,,1730.92,0.19,,(17/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,31,,1839.97,0.19,,(19/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,32,,1941.8,1.4,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,33,,2056.46,0.19,,(21/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,34,,2094.77,0.2,,(19/2+),3,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,35,X,2379.68,0.24,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,36,,2604.67,0.2,,(23/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,37,,2845.12,0.21,,(25/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,38,X,3226.2,0.3,,(27/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,39,,3350.77,0.22,,(27/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,40,,3587.1,0.3,,(29/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17
43,64,Tc,41,,4320.6,0.4,,(33/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2008,Jean Blachot,2025-10-17

