z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
5,5,B,0,,0,,,3+,1,STABLE,,,,,,,,,,,,,,,0,1.8004636,0.0000008,0.0846,0.0002,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,1,,718.38,0.011,,1+,1,0.7070,,34,ns,0.000000000707,0.0000000000034,IT,100,,,,,,,,0,0.63,0.12,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,2,,1740.05,0.04,,0+,1,4.9,,21,fs,0.0000000000000049,0.0000000000000021,IT,100,,,,,,,,1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,3,,2154.27,0.45,,1+,2,1.48,,14,ps,0.00000000000148,0.00000000000014,IT,100,,,,,,,,0,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,4,,3587.13,0.48,,2+,1,102,,7,fs,0.000000000000102,0.000000000000007,IT,100,,,,,,,,0,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,5,,4774,0.5,,3+,2,7.8,,12,eV,5.849201475274176e-17,8.99877150042181e-18,A,99.8,,IT,0.23,,,,,0,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,6,,5110.3,0.6,,2-,1,0.978,,66,keV,4.665007311568361e-19,3.148164443389692e-20,A,100,,IT,0.0033,,,,,0,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,7,,5163.9,0.6,,2+,2,1.79,,40,eV,2.5488140506781325e-16,5.695673856263984e-17,IT,84,,A,16,,,,,1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,8,,5182,8,,1+,3,110,,10,keV,4.147615591558052e-21,3.7705596286891384e-22,A,100,,IT,0.000054,,,,,0,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,9,,5919.5,0.6,,2+,3,5.82,,6,keV,7.839135997790133e-20,8.081583502876426e-22,A,100,,IT,0.0024,,,,,0,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,10,,6024.9,0.5,,4+,1,0.052,,19,keV,8.773802212911265e-18,3.2058123470252704e-18,A,99.79,,IT,0.21,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,11,,6129.1,2.5,,3-,1,1.52,,8,keV,3.0015639149433274e-19,1.5797704815491196e-20,A,95.5,,D,3.1,,IT,1.4,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,12,,6560.1,1,,(4)-,1,25.2,,11,keV,1.81046712329915e-20,7.902832681067719e-22,A,100,,IT,0,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,13,,6875,5,,1-,1,120,,4,keV,3.8019809589282144e-21,1.2673269863094047e-22,IT,0.00124,,P,0,,D,0,,0&1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,14,,7004,5,,3+,3,98,,6,keV,4.655486888483528e-21,2.850298094989915e-22,P,0,,D,0,,A,0,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,15,,7428,5,,1-,2,94,,9,keV,4.8535927135253806e-21,4.647056853375365e-22,IT,0.0051,,P,0,,D,0,,0&1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,16,,7470,4,,2+,4,65,,10,keV,7.019041770329012e-21,1.0798525800506173e-21,P,100,,IT,0.018,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,17,,7479,2,,2-,2,74,,4,keV,6.165374527991699e-21,3.3326348799955135e-22,IT,0.0072,,P,0,,,,,1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,18,,7559.9,0.4,,0+,2,2.65,,18,keV,1.7216517549863615e-19,1.1694238335756417e-20,IT,0.23,,P,0,,,,,1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,19,,7666,27,,(1+),1,247,,19,keV,1.8471162553497398e-21,1.4208586579613383e-22,P,30,,D,0,,A,0,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,20,,7750,30,,2-,3,210,,60,keV,2.17256054795898e-21,6.207315851311371e-22,P,65,,IT,0.0026,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,21,,7811,17,,1-,3,260,,30,keV,1.754760442582253e-21,2.0247235875949073e-22,P,90,,A,0,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,22,,7960,70,,,,285,,91,keV,1.6008340879697746e-21,5.111435158078929e-22,A,0,,,,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,23,,8070,50,,2+,5,0.8,,2,MeV,5.702971438392321e-22,1.4257428595980803e-22,P,7,,IT,0,,D,0,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,24,,8680,,,(1+ 2+),1,220,AP,,keV,2.073807795779026e-21,0,P,0,,D,0,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,25,,8887,3,,3-,2,96,,4,keV,4.752476198660268e-21,1.980198416108445e-22,P,85,,N,0,,A,0,,1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,26,,8895,1,,2+,6,39,,1,keV,1.1698402950548352e-20,2.999590500140603e-22,P,35,,IT,0.0013,,A,0,,1,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,27,,9580,60,,,,257,,64,keV,1.7752440275151196e-21,4.420841158014306e-22,A,0,,,,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,28,,9700,,,,,630,AP,,keV,7.241868493196599e-22,0,N,0,,P,0,,A,0,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,29,,10825,9,,(2+ 3+ 4+),1,0.35,,7,MeV,1.3035363287753877e-21,2.6070726575507757e-22,IT,0,,N,0,,P,0,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,30,,11511,30,,,,316,,44,keV,1.4437902375676764e-21,2.0103408371195492e-22,IT,0,,A,0,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,31,,12564,26,,(0+ 1+ 2+),1,106,,26,keV,4.304129387465903e-21,1.0557298497557875e-21,IT,0,,P,0,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
5,5,B,32,,13494,50,,(0+ 1+ 2+),2,300,,50,keV,1.5207923835712858e-21,2.5346539726188094e-22,IT,0,,P,0,,,,,,,,,,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2025-10-16
