z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
49,68,In,0,,0,,,9/2+,1,43.2,,3,m,2592,18,B-,100,,,,,,,,,5.511,0.004,0.79,0.01,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,1,,315.303,0.011,,1/2-,1,116.2,,3,m,6972,18,B-,52.9,1.5,IT,47.1,1.5,,,,,-0.25136,0.00004,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,2,,588.653,0.015,,3/2-,1,0.192,,16,ns,0.000000000192,0.000000000016,,,,,,,,,,,0.84,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,3,,659.765,0.013,,3/2+,1,53.6,,7,ns,0.0000000536,0.0000000007,,,,,,,,,,,0.91,0.01,-0.57,0.04,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,4,,748.07,0.03,,7/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,5,,749.488,0.014,,1/2+,1,4.73,,12,ns,0.00000000473,0.00000000012,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,6,,880.72,0.013,,5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,7,,1028.04,0.03,,(5/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,8,,1030,13,,(3/2+ 5/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,9,,1051.709,0.019,,5/2+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,10,,1065.984,0.019,,(11/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,11,,1209.03,0.04,,(11/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,12,,1234.606,0.021,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,13,,1360,15,,3/2+ 5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,14,,1365.524,0.022,,7/2+ 9/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,15,,1376.28,0.06,,(3/2)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,16,,1432.921,0.017,,9/2+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,17,,1439.38,0.08,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,18,,1468.67,0.13,,5/2+ 7/2 9/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,19,,1554.48,0.19,,(1/2- 3/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,20,,1609.39,0.03,,(3/2+ 5/2 7/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,21,,1612.1,0.04,,(1/2 3/2 5/2),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,22,,1653,15,,3/2+ 5/2+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,23,,1712.547,0.024,,3/2+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,24,,1784.97,0.05,,3/2+,3,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,25,,1855.63,0.1,,(5/2- 7/2 9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,26,,1891.929,0.019,,1/2+,2,0.42,,6,ns,0.00000000042,0.00000000006,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,27,,1898,1,,(15/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,28,,1957.37,0.09,,(9/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,29,,1997.329,0.017,,(11/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,30,,1997.368,0.019,,3/2+,4,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,31,,2022.23,0.03,,3/2+,5,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,32,,2064.16,0.04,,3/2+,6,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,33,,2095.035,0.025,,(11/2 13/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,34,,2096.42,0.03,,(9/2 11/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,35,,2109.83,0.04,,(3/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,36,,2112.98,0.15,,1/2+ 3/2 5/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,37,,2124,0.9,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,38,,2171.74,0.03,,3/2+,7,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,39,,2223,15,,3/2+ 5/2+,3,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,40,,2255,15,,3/2+ 5/2+,4,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,41,,2261.4,1.1,,(17/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,42,,2263.4,0.8,,(17/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,43,,2308,15,,7/2+ 9/2+,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,44,,2311.722,0.02,,1/2+ 3/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,45,,2322.76,0.06,,(9/2 11/2)-,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,46,,2327.79,0.05,,(1/2)+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,47,,2345.5,0.05,,3/2+,8,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,48,,2372,15,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,49,,2400.38,0.09,,(9/2)-,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,50,,2405.29,0.06,,(11/2 13/2)-,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,51,,2414.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,52,,2417.44,0.09,,(9/2)-,2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,53,,2429.8,1.1,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,54,,2440.05,0.15,,(9/2 11/2 13/2),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,55,,2446.4,0.8,,(17/2+),2,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,56,,2455.97,0.1,,1/2+,3,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,57,,2462.5,0.3,,11/2 13/2+,1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,58,,2476.21,0.17,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,59,,2525,15,,1/2+,4,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,60,,2540.86,0.12,,(11/2 13/2),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,61,,2560,15,,3/2+ 5/2+,5,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,62,,2621.8,1.5,,(21/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,63,,2642,15,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,64,,2670.2,0.9,,(21/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,65,,2727,1.4,,(19/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,66,,2731.2,1.3,,(23/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,67,,2755,15,,3/2+ 5/2+,6,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,68,,2837.2,1.7,,(25/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,69,,2856.8,1.8,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,70,,3030.8,2,,(25/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,71,,3191.8,2,,(27/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,72,,3559.1,2.2,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
49,68,In,73,,3726.8,2.3,,(29/2+),1,,,,,,,,,,,,,,,,,,,,,1-Mar-2009,JEAN BLACHOT,2025-10-17
