z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
51,68,Sb,0,,0,,,5/2+,1,38.19,,22,h,137484,792,EC,100,,,,,,,,,3.45,0.01,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,1,,270.52,0.04,,7/2+,1,35,,10,ps,0.000000000035,0.00000000001,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,2,,644.03,0.04,,1/2+,1,5.2,,48,ps,0.0000000000052,0.0000000000048,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,3,,699.88,0.05,,3/2+ 5/2+,1,300,GT,,fs,0.0000000000003,,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,4,,970.9,0.05,,9/2+,1,,,,,,,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,5,,1048.42,0.05,,7/2+,2,300,GT,,fs,0.0000000000003,,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,6,,1212.74,0.04,,9/2+,2,5.2,,48,ps,0.0000000000052,0.0000000000048,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,7,,1249.74,0.05,,9/2+,3,,,,,,,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,8,,1327.25,0.11,,(1/2-),1,76,GT,,fs,0.000000000000076,,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,9,,1338.61,0.09,,3/2+,1,0.07,,+6-3,ps,0.00000000000007,0.000000000000045,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
51,68,Sb,10,,1340.75,0.17,,11/2+,1,,,,,,,,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
