z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
6,5,C,0,,0,,,3/2-,1,20.364,,14,m,1221.84,0.84,EC+B+,100,,,,,,,,1/2,-0.964,0.001,0.0333,0.0002,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,1,,2000,0.4,,1/2-,1,7.1,,5,fs,0.0000000000000071,5e-16,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,2,,4318.8,1.2,,5/2-,1,8.3,LT,,fs,0.0000000000000083,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,3,,4804.2,1.2,,3/2-,2,7.6,LT,,fs,0.0000000000000076,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,4,,6339.2,1.4,,1/2+,1,76.2,LT,,fs,0.0000000000000762,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,5,,6478.2,1.3,,7/2-,1,5.5,LT,,fs,0.0000000000000055,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,6,,6904.8,1.4,,5/2+,1,48,LT,,fs,0.000000000000048,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,7,,7400,,,3/2+,1,,,,,,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,8,,7499.7,1.5,,3/2+,2,63,LT,,fs,0.000000000000063,,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,9,,8104.5,1.7,,3/2-,3,6,,+12-2,eV,7.603961917856429e-17,8.871288904165833e-17,A,94.5,3.6,IT,5.5,3.6,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,10,,8420,2,,5/2-,2,15.7,,40,eV,2.905972707461056e-17,7.403752120919887e-18,A,80,5,IT,20,5,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,11,,8654,4,,7/2+,1,5,LE,,keV,9.124754301427715e-20,0,A,100,,IT,0,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,12,,8699,2,,5/2+,2,15,,1,keV,3.0415847671425715e-20,2.0277231780950475e-21,P,90,,IT,10,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,13,,9200,50,,5/2+,3,500,,90,keV,9.124754301427716e-22,1.6424557742569887e-22,P,100,,IT,0,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,14,,9645,50,,(3/2-),1,210,,40,keV,2.17256054795898e-21,4.138210567540914e-22,P,100,,A,100,,IT,0,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,15,,9780,50,,(5/2-),1,240,,50,keV,1.9009904794641072e-21,3.9603968322168903e-22,P,100,,IT,0,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,16,,9970,50,,(7/2-),1,120,,20,keV,3.8019809589282144e-21,6.336634931547023e-22,P,100,,IT,0,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,17,,10083,5,,7/2+,2,230,AP,,keV,1.9836422394408077e-21,0,A,64,,P,36,,IT,0,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,18,,10679,5,,9/2+,1,200,,30,keV,2.2811885753569288e-21,3.421782863035393e-22,P,50,,A,50,,IT,0,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,19,,11030,30,,,,300,,60,keV,1.5207923835712858e-21,3.0415847671425717e-22,P,100,,A,100,,,,,1/2,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,20,,11440,10,,,,360,,,keV,1.2673269863094049e-21,0,A,100,,P,0,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,21,,12160,40,,,,270,,50,keV,1.6897693150792066e-21,3.129202435331864e-22,P,,,,,,,,,3/2,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,22,,12400,,,-,1,1.4,,4,MeV,3.2588408219384692e-22,9.310973776967056e-23,P,,,IT,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,23,,12510,30,,1/2-,2,500,,50,keV,9.124754301427716e-22,9.124754301427716e-23,P,,,,,,,,,3/2,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,24,,12650,20,,(7/2+),1,360,,,keV,1.2673269863094049e-21,0,A,50,,P,50,,3HE,0,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,25,,13010,,,,,,,,,,,P,100,,IT,0,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,26,,13330,60,,,,270,,80,keV,1.6897693150792066e-21,5.006723896530982e-22,,,,,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,27,,13400,,,,,11E+2,,1,keV,4.1476155915580523e-22,3.770559628689139e-23,P,,,A,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,28,,13900,20,,,,200,,40,keV,2.2811885753569288e-21,4.562377150713858e-22,P,,,,,,,,,3/2,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,29,,14070,20,,,,135,,50,keV,3.379538630158413e-21,1.2516809741327456e-21,N,,,P,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,30,,14760,40,,,,450,AP,,keV,1.013861589047524e-21,0,N,,,P,,,3HE,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,31,,15350,50,,-,2,,,,,,,N,100,,P,100,,IT,0,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
6,5,C,32,,15590,50,,,,450,AP,,keV,1.013861589047524e-21,0,N,,,P,,,,,,,,,,,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-10-16
