z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
50,76,Sn,0,,0,,,0+,1,2.18E+5,,10,Y,6879409862461.056,315569259745.92,B-,100,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,1,,1141.15,0.04,,2+,1,1.13,,7,ps,0.00000000000113,0.00000000000007,,,,,,,,,,,-0.24,0.06,0,0.2,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,2,,2049.74,0.06,,4+,1,,,,,,,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,3,,2110.79,0.06,,2(+),1,,,,,,,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,4,,2130.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,5,,2161.54,0.07,,5-,1,10.8,,7,ns,0.0000000108,0.0000000007,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,6,,2194.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,7,,2218.99,0.08,,7-,1,6.1,,7,us,0.0000061,0.0000007,,,,,,,,,,,-0.69,0.06,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,8,,2256.51,0.21,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
50,76,Sn,9,,2276.85,0.08,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-10-17
