z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
53,76,I,0,,0,,,7/2+,1,1.57E+7,,4,Y,495443737801094.4,12622770389836.8,B-,100,,,,,,,,,2.6165,0.0014,-0.483,0.008,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,1,,27.793,0.02,,5/2+,1,16.8,,2,ns,0.0000000168,0.0000000002,,,,,,,,,,,2.805,0.003,-0.598,0.01,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,2,,278.381,0.023,,3/2+,1,0.104,,12,ns,0.000000000104,0.000000000012,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,3,,487.346,0.025,,5/2+,2,11.6,,27,ps,0.0000000000116,0.0000000000027,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,4,,559.61,0.03,,1/2+,1,,,,,,,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,5,,695.89,0.05,,11/2+,1,4.3,,5,ps,0.0000000000043,0.0000000000005,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,6,,729.57,0.03,,(9/2)+,1,3.8,,4,ps,0.0000000000038,0.0000000000004,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,7,,768.75,0.03,,(7/2)+,1,,,,,,,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,8,,829.91,0.03,,3/2+ 5/2+,1,,,,,,,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
53,76,I,9,,844.82,0.03,,(7/2)+,2,,,,,,,,,,,,,,,,,,,,,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-10-17
