z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
61,70,Pm,0,,0,,,(11/2-),1,6.3,,8,s,6.3,0.8,EC+B+,100,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,1,,273,1,,(15/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,2,,680,1.5,,(19/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,3,,1218,1.8,,(23/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,4,,1874,2,,(27/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,5,,2634,2.3,,(31/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,6,,3486,2.5,,(35/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,7,,4422,3,,(39/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,8,,5438,,,(43/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17
61,70,Pm,9,,6537,,,(47/2-),1,,,,,,,,,,,,,,,,,,,,,17-Jul-2022,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-10-17

