z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
57,77,La,0,,0,,,1+,1,6.45,,16,m,387,9.6,EC+B+,100,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,1,,31.897,0.016,,(2)+,1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,2,,54.601,0.014,,(2)+,2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,3,,93.69,0.017,,(2 3)+,1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,4,,122.86,0.14,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,5,,136.32,0.04,,(2 3)+,2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,6,,162.313,0.009,,1+,2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,7,,164.28,0.14,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,8,,187.009,0.011,,(2)+,3,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,9,,205.28,0.04,,(2)+,4,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,10,,220.27,0.14,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,11,,252.48,0.014,,(1)+,1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,12,,274.72,0.14,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,13,,294.264,0.012,,(1)+,2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,14,,329.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,15,,336.44,0.17,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,16,X,336.44,,103.56,,,29,,4,us,0.000029,0.000004,IT,100,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,17,,355.479,0.012,,(1)+,3,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,18,,381.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,19,,382.8,0.5,,(3+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,20,,467.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,21,,483.9,0.5,,(3+),2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,22,,490.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,23,,543.9,0.5,,(4+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,24,,570.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
57,77,La,25,,574.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
