z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
52,82,Te,0,,0,,,0+,1,41.8,,8,m,2508,48,B-,100,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,1,,1279.11,0.1,,2+,1,0.64,,20,ps,0.00000000000064,0.0000000000002,,,,,,,,,,,1.52,0.18,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,2,,1576.13,0.14,,4+,1,1.36,,11,ns,0.00000000136,0.00000000011,,,,,,,,,,,3,2,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,3,,1691.34,0.16,,6+,1,164.1,,9,ns,0.0000001641,0.0000000009,IT,100,,,,,,,,,5.08,0.15,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,4,,2397.7,0.18,,(6)+,1,16,LT,,ps,0.000000000016,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,5,,2464.93,0.15,,2+,2,1,LT,,ns,0.000000001,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,6,,2554.52,0.18,,(4+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,7,,2631.55,0.15,,(1)+,1,1,LT,,ns,0.000000001,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,8,,2682.98,0.18,,(3+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,9,,2727.05,0.19,,(5+),1,20,LT,,ps,0.00000000002,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,10,,2933.71,0.22,,2+,3,1,LT,,ns,0.000000001,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,11,,4013.46,0.2,,(9-),1,0.703,,26,ns,0.000000000703,0.000000000026,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,12,,4269.7,,,4 5 6,1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,13,,4299.4,0.22,,(7-),1,16,LT,,ps,0.000000000016,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,14,,4323.2,,,(5-),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,15,,4402.5,,,(5+),2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,16,,4458.4,,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,17,,4501.2,,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,18,,4504.1,,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,19,,4556.89,0.21,,(8+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,20,,4563.01,0.21,,(8-),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,21,,5079.31,0.23,,(9+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,22,,5621.38,0.23,,(10+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,23,,5657.8,0.3,,(10-),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,24,,5804,0.3,,(12+),1,18,,2,ns,0.000000018,0.000000002,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,25,,5822.2,0.3,,(11-),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,26,,5986.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,27,,6009.7,0.4,,(13+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,28,,6098.9,0.3,,(11-),2,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,29,,6709.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,30,,7050.3,0.5,,(14+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,31,,7566.3,0.6,,(15+),1,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
52,82,Te,32,,7722.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17

