z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
58,78,Ce,0,,0,,,0+,1,STABLE,,,,,,2EC,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,1,,552.05,0.13,,2+,1,6.7,,8,ps,0.0000000000067,0.0000000000008,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,2,,1075.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,3,,1091.88,0.15,,2+,2,4.4,,7,ps,0.0000000000044,0.0000000000007,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,4,,1313.74,0.24,,4+,1,0.94,,17,ps,0.00000000000094,0.00000000000017,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,5,,1552.98,0.23,,3+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,6,,1978.2,0.5,,5-,1,496,,23,ps,0.000000000496,0.000000000023,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,7,,1982,0.6,,(3-),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,8,,2066.72,0.22,,2+,3,0.151,,16,ps,0.000000000000151,0.000000000000016,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,9,,2155.02,0.18,,2+,4,0.039,,5,ps,0.000000000000039,0.000000000000005,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,10,,2213.7,0.5,,6+,1,5,LE,,ns,0.000000005,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,11,,2274.5,0.7,,(2+),1,0.305,,25,ps,0.000000000000305,0.000000000000025,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,12,,2306.9,0.5,,7-,1,270,,24,ps,0.00000000027,0.000000000024,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,13,,2366.1,0.5,,6+,2,5,LE,,ns,0.000000005,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,14,,2424.7,0.5,,(6-),1,3,LE,,ns,0.000000003,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,15,,2451.08,0.23,,(2+),2,0.17,,3,ps,0.00000000000017,0.00000000000003,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,16,,2517.1,0.3,,(2+ 3),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,17,,2595.2,0.3,,(2+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,18,,2682,0.3,,(2+),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,19,,2792.7,0.4,,(1 2+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,20,,2827.8,0.3,,(1 2 3),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,21,,2865.9,0.3,,(1 2+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,22,,2904.1,0.4,,(1 2 3),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,23,,2931.8,0.4,,(1 2+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,24,,2942.1,0.5,,(2+),5,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,25,,2954.6,0.5,,(8+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,26,,2989.4,0.5,,8+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,27,,2991.3,0.5,,(2+ 3 4+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,28,,3011.16,0.23,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,29,,3095,0.6,,10+,1,1.9,,1,us,0.0000019,0.0000001,IT,100,,,,,,,,,-1.8,0.02,1.11,0.11,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,30,,3146.2,0.5,,(8-),1,3,LE,,ns,0.000000003,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,31,,3174.5,0.4,,(1 2+),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,32,,3201.3,0.4,,(2+),6,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,33,,3233,0.3,,(1 2 3),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,34,,3264.1,0.4,,(1 2+),5,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,35,,3277.9,0.7,,9-,1,3,LE,,ns,0.000000003,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,36,,3280.6,0.4,,(1 2+),6,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,37,,3361.7,0.3,,(1 2+),7,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,38,,3399.7,0.5,,(10+),1,3,LE,,ns,0.000000003,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,39,,3440.9,0.7,,(9+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,40,,3575.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
58,78,Ce,41,,3579.4,0.7,,(1 2+),8,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
