z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
59,77,Pr,0,,0,,,2+,1,13.1,,1,m,786,6,EC+B+,100,,,,,,,,,1.76,0.11,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,1,,40.19,0.07,,1+ 2+,1,9.25,,20,ns,0.00000000925,0.0000000002,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,2,,130.57,0.11,,(3)+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,3,,140.69,0.12,,0+ 1+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,4,,149.11,0.08,,1+,1,0.8,LT,,ns,0.0000000008,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,5,,174.49,0.19,,(4)-,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,6,,184.5,0.1,,1+,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,7,,334.7,0.17,,(1+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,8,,338.43,0.14,,4+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,9,,351.87,0.14,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,10,,476.62,0.14,,1+,3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,11,,547.82,0.14,,(4)+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,12,,574.82,0.09,,1+,4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,13,,594.6,0.2,,(6)+,1,91,,1,ns,0.000000091,0.000000001,,,,,,,,,,,3.42,0.11,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,14,,672.79,0.22,,(1)+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,15,,793.3,0.3,,0+ 1+,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,16,,804,0.3,,(7+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,17,,940.09,0.21,,(1)+,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,18,,972.3,0.4,,(1)+,3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,19,,1004.8,0.4,,(0+ 1+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,20,,1048.8,0.3,,(8+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,21,,1062.6,0.3,,(0 1)+,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,22,,1116,0.3,,(7),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,23,,1171.9,0.3,,(1+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,24,,1183.9,0.5,,0 1,1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,25,,1184.8,0.4,,(9+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,26,,1316.3,0.4,,(8+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,27,,1346.4,0.3,,(8+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,28,,1488.8,0.3,,(0 1)+,2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,29,,1551.4,0.4,,(10+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,30,,1802.9,0.4,,(10+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,31,,1837.5,0.4,,(10+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,32,,1911.7,0.4,,(11+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,33,,2102,0.4,,(9),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,34,,2152.8,0.4,,(11),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,35,,2222.7,0.4,,(10+),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,36,,2235.4,0.4,,(10+),5,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,37,,2265.7,0.4,,(10+),6,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,38,,2332.4,0.4,,(10+),7,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,39,,2382,0.4,,(12+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,40,,2444.9,0.4,,(11),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,41,,2465.8,0.4,,(11),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,42,,2528.6,0.4,,(12+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,43,,2569.1,0.4,,(13),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,44,,2636.7,0.4,,(12),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,45,,2680.4,0.4,,(12+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,46,,2779.2,0.4,,(12),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,47,,2818.8,0.5,,(13+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,48,,2846.8,0.5,,(13+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,49,,2919.7,0.4,,(13),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,50,,3009.8,0.4,,(13),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,51,,3065.6,0.5,,(14+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,52,,3122.6,0.5,,(14+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,53,,3236.9,0.4,,(14),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,54,,3314.3,0.5,,(14+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,55,,3340.6,0.5,,(14+),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,56,,3414.7,0.5,,(14),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,57,,3593.6,0.5,,(15),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,58,,3677.6,0.5,,(15),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,59,,3729,0.4,,(14),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,60,,3783.7,0.5,,(16+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,61,,3802,0.7,,(15+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,62,,3860.7,0.5,,(15+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,63,,3936.6,0.4,,(15),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,64,,3998.7,0.7,,(15),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,65,,4098.3,0.5,,(16),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,66,,4173.1,0.5,,(16),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,67,,4210.2,0.5,,(16),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,68,,4241.5,0.6,,(16+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,69,,4289,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,70,,4355.5,0.7,,(17+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,71,,4411.8,0.5,,(16+),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,72,,4435.5,0.5,,(17),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,73,,4472.7,0.6,,(18+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,74,,4530,0.5,,(17),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,75,,4544,0.7,,(17),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,76,,4581.1,0.5,,(17),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,77,,4884.2,0.6,,(18),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,78,,4958.8,0.6,,(17+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,79,,4990.4,0.5,,(18),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,80,,5030.5,0.5,,(18),3,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,81,,5085.6,0.6,,(18),4,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,82,,5143.5,1.2,,(19+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,83,,5175,0.8,,(18+),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,84,,5323.7,0.6,,(19),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,85,,5371.1,0.8,,(20+),1,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
59,77,Pr,86,,5394.4,0.9,,(19),2,,,,,,,,,,,,,,,,,,,,,1-Apr-2018,E.A. MCCUTCHAN,2025-10-17
